# From 13.244.87.77 in af-south-1a
PING 10.1.0.63 (10.1.0.63) 56(84) bytes of data.
64 bytes from 10.1.0.63: icmp_seq=1 ttl=64 time=0.012 ms
64 bytes from 10.1.0.63: icmp_seq=2 ttl=64 time=0.026 ms
64 bytes from 10.1.0.63: icmp_seq=3 ttl=64 time=0.026 ms
64 bytes from 10.1.0.63: icmp_seq=4 ttl=64 time=0.025 ms
64 bytes from 10.1.0.63: icmp_seq=5 ttl=64 time=0.024 ms
64 bytes from 10.1.0.63: icmp_seq=6 ttl=64 time=0.026 ms
64 bytes from 10.1.0.63: icmp_seq=7 ttl=64 time=0.025 ms
64 bytes from 10.1.0.63: icmp_seq=8 ttl=64 time=0.026 ms
64 bytes from 10.1.0.63: icmp_seq=9 ttl=64 time=0.026 ms
64 bytes from 10.1.0.63: icmp_seq=10 ttl=64 time=0.026 ms

--- 10.1.0.63 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9217ms
rtt min/avg/max/mdev = 0.012/0.024/0.026/0.005 ms
PING 10.1.1.11 (10.1.1.11) 56(84) bytes of data.
64 bytes from 10.1.1.11: icmp_seq=1 ttl=64 time=0.745 ms
64 bytes from 10.1.1.11: icmp_seq=2 ttl=64 time=0.744 ms
64 bytes from 10.1.1.11: icmp_seq=3 ttl=64 time=0.747 ms
64 bytes from 10.1.1.11: icmp_seq=4 ttl=64 time=0.846 ms
64 bytes from 10.1.1.11: icmp_seq=5 ttl=64 time=0.745 ms
64 bytes from 10.1.1.11: icmp_seq=6 ttl=64 time=0.717 ms
64 bytes from 10.1.1.11: icmp_seq=7 ttl=64 time=0.803 ms
64 bytes from 10.1.1.11: icmp_seq=8 ttl=64 time=0.736 ms
64 bytes from 10.1.1.11: icmp_seq=9 ttl=64 time=0.810 ms
64 bytes from 10.1.1.11: icmp_seq=10 ttl=64 time=0.827 ms

--- 10.1.1.11 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9202ms
rtt min/avg/max/mdev = 0.717/0.772/0.846/0.042 ms
PING 10.1.2.246 (10.1.2.246) 56(84) bytes of data.
64 bytes from 10.1.2.246: icmp_seq=1 ttl=64 time=0.547 ms
64 bytes from 10.1.2.246: icmp_seq=2 ttl=64 time=0.513 ms
64 bytes from 10.1.2.246: icmp_seq=3 ttl=64 time=0.511 ms
64 bytes from 10.1.2.246: icmp_seq=4 ttl=64 time=0.491 ms
64 bytes from 10.1.2.246: icmp_seq=5 ttl=64 time=0.488 ms
64 bytes from 10.1.2.246: icmp_seq=6 ttl=64 time=0.520 ms
64 bytes from 10.1.2.246: icmp_seq=7 ttl=64 time=0.512 ms
64 bytes from 10.1.2.246: icmp_seq=8 ttl=64 time=0.504 ms
64 bytes from 10.1.2.246: icmp_seq=9 ttl=64 time=0.509 ms
64 bytes from 10.1.2.246: icmp_seq=10 ttl=64 time=0.459 ms

--- 10.1.2.246 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9208ms
rtt min/avg/max/mdev = 0.459/0.505/0.547/0.029 ms
# From 13.244.87.77 in af-south-1a
PING 10.1.0.63 (10.1.0.63) 56(84) bytes of data.
64 bytes from 10.1.0.63: icmp_seq=1 ttl=64 time=0.011 ms
64 bytes from 10.1.0.63: icmp_seq=2 ttl=64 time=0.027 ms
64 bytes from 10.1.0.63: icmp_seq=3 ttl=64 time=0.025 ms
64 bytes from 10.1.0.63: icmp_seq=4 ttl=64 time=0.027 ms
64 bytes from 10.1.0.63: icmp_seq=5 ttl=64 time=0.026 ms
64 bytes from 10.1.0.63: icmp_seq=6 ttl=64 time=0.027 ms
64 bytes from 10.1.0.63: icmp_seq=7 ttl=64 time=0.025 ms
64 bytes from 10.1.0.63: icmp_seq=8 ttl=64 time=0.026 ms
64 bytes from 10.1.0.63: icmp_seq=9 ttl=64 time=0.027 ms
64 bytes from 10.1.0.63: icmp_seq=10 ttl=64 time=0.026 ms
64 bytes from 10.1.0.63: icmp_seq=11 ttl=64 time=0.025 ms
64 bytes from 10.1.0.63: icmp_seq=12 ttl=64 time=0.025 ms
