# From 13.245.10.22 in af-south-1b
PING 10.1.0.63 (10.1.0.63) 56(84) bytes of data.
64 bytes from 10.1.0.63: icmp_seq=1 ttl=64 time=0.688 ms
64 bytes from 10.1.0.63: icmp_seq=2 ttl=64 time=0.682 ms
64 bytes from 10.1.0.63: icmp_seq=3 ttl=64 time=0.693 ms
64 bytes from 10.1.0.63: icmp_seq=4 ttl=64 time=0.939 ms
64 bytes from 10.1.0.63: icmp_seq=5 ttl=64 time=0.767 ms
64 bytes from 10.1.0.63: icmp_seq=6 ttl=64 time=0.708 ms
64 bytes from 10.1.0.63: icmp_seq=7 ttl=64 time=0.738 ms
64 bytes from 10.1.0.63: icmp_seq=8 ttl=64 time=0.809 ms
64 bytes from 10.1.0.63: icmp_seq=9 ttl=64 time=0.749 ms
64 bytes from 10.1.0.63: icmp_seq=10 ttl=64 time=0.750 ms

--- 10.1.0.63 ping statistics ---
10 packets transmitted, 10 received, 0% packet loss, time 9167ms
rtt min/avg/max/mdev = 0.682/0.752/0.939/0.075 ms
# From 13.245.10.22 in af-south-1b
PING 10.1.0.63 (10.1.0.63) 56(84) bytes of data.
64 bytes from 10.1.0.63: icmp_seq=1 ttl=64 time=0.741 ms
64 bytes from 10.1.0.63: icmp_seq=2 ttl=64 time=0.688 ms
64 bytes from 10.1.0.63: icmp_seq=3 ttl=64 time=0.746 ms
64 bytes from 10.1.0.63: icmp_seq=4 ttl=64 time=0.691 ms
64 bytes from 10.1.0.63: icmp_seq=5 ttl=64 time=0.697 ms
64 bytes from 10.1.0.63: icmp_seq=6 ttl=64 time=0.701 ms
64 bytes from 10.1.0.63: icmp_seq=7 ttl=64 time=0.740 ms
64 bytes from 10.1.0.63: icmp_seq=8 ttl=64 time=0.699 ms
64 bytes from 10.1.0.63: icmp_seq=9 ttl=64 time=0.688 ms
64 bytes from 10.1.0.63: icmp_seq=10 ttl=64 time=0.715 ms
64 bytes from 10.1.0.63: icmp_seq=11 ttl=64 time=0.694 ms
64 bytes from 10.1.0.63: icmp_seq=12 ttl=64 time=0.773 ms
64 bytes from 10.1.0.63: icmp_seq=13 ttl=64 time=0.762 ms
64 bytes from 10.1.0.63: icmp_seq=14 ttl=64 time=0.810 ms
64 bytes from 10.1.0.63: icmp_seq=15 ttl=64 time=0.851 ms
64 bytes from 10.1.0.63: icmp_seq=16 ttl=64 time=0.695 ms
64 bytes from 10.1.0.63: icmp_seq=17 ttl=64 time=0.751 ms
