PING 10.1.0.63 (10.1.0.63) 56(84) bytes of data.
64 bytes from 10.1.0.63: icmp_seq=1 ttl=64 time=0.503 ms
64 bytes from 10.1.0.63: icmp_seq=2 ttl=64 time=0.492 ms
64 bytes from 10.1.0.63: icmp_seq=3 ttl=64 time=0.468 ms
64 bytes from 10.1.0.63: icmp_seq=4 ttl=64 time=0.471 ms
64 bytes from 10.1.0.63: icmp_seq=5 ttl=64 time=0.468 ms
64 bytes from 10.1.0.63: icmp_seq=6 ttl=64 time=0.538 ms
64 bytes from 10.1.0.63: icmp_seq=7 ttl=64 time=0.472 ms
64 bytes from 10.1.0.63: icmp_seq=8 ttl=64 time=0.482 ms
64 bytes from 10.1.0.63: icmp_seq=9 ttl=64 time=0.632 ms
64 bytes from 10.1.0.63: icmp_seq=10 ttl=64 time=0.562 ms
64 bytes from 10.1.0.63: icmp_seq=11 ttl=64 time=0.563 ms
64 bytes from 10.1.0.63: icmp_seq=12 ttl=64 time=0.573 ms
64 bytes from 10.1.0.63: icmp_seq=13 ttl=64 time=0.617 ms
64 bytes from 10.1.0.63: icmp_seq=14 ttl=64 time=0.559 ms
64 bytes from 10.1.0.63: icmp_seq=15 ttl=64 time=0.540 ms
64 bytes from 10.1.0.63: icmp_seq=16 ttl=64 time=0.483 ms
64 bytes from 10.1.0.63: icmp_seq=17 ttl=64 time=0.461 ms
64 bytes from 10.1.0.63: icmp_seq=18 ttl=64 time=0.467 ms
64 bytes from 10.1.0.63: icmp_seq=19 ttl=64 time=0.582 ms
64 bytes from 10.1.0.63: icmp_seq=20 ttl=64 time=0.570 ms
64 bytes from 10.1.0.63: icmp_seq=21 ttl=64 time=0.514 ms
64 bytes from 10.1.0.63: icmp_seq=22 ttl=64 time=0.487 ms
64 bytes from 10.1.0.63: icmp_seq=23 ttl=64 time=0.454 ms
64 bytes from 10.1.0.63: icmp_seq=24 ttl=64 time=0.449 ms
64 bytes from 10.1.0.63: icmp_seq=25 ttl=64 time=0.570 ms
64 bytes from 10.1.0.63: icmp_seq=26 ttl=64 time=0.504 ms
64 bytes from 10.1.0.63: icmp_seq=27 ttl=64 time=0.483 ms
64 bytes from 10.1.0.63: icmp_seq=28 ttl=64 time=0.585 ms
64 bytes from 10.1.0.63: icmp_seq=29 ttl=64 time=0.559 ms
64 bytes from 10.1.0.63: icmp_seq=30 ttl=64 time=0.623 ms
64 bytes from 10.1.0.63: icmp_seq=31 ttl=64 time=0.466 ms
64 bytes from 10.1.0.63: icmp_seq=32 ttl=64 time=0.557 ms
64 bytes from 10.1.0.63: icmp_seq=33 ttl=64 time=0.623 ms
64 bytes from 10.1.0.63: icmp_seq=34 ttl=64 time=0.599 ms
64 bytes from 10.1.0.63: icmp_seq=35 ttl=64 time=0.620 ms
64 bytes from 10.1.0.63: icmp_seq=36 ttl=64 time=0.485 ms
64 bytes from 10.1.0.63: icmp_seq=37 ttl=64 time=0.560 ms
64 bytes from 10.1.0.63: icmp_seq=38 ttl=64 time=0.559 ms
64 bytes from 10.1.0.63: icmp_seq=39 ttl=64 time=0.474 ms
64 bytes from 10.1.0.63: icmp_seq=40 ttl=64 time=0.610 ms
64 bytes from 10.1.0.63: icmp_seq=41 ttl=64 time=0.546 ms
64 bytes from 10.1.0.63: icmp_seq=42 ttl=64 time=0.553 ms
64 bytes from 10.1.0.63: icmp_seq=43 ttl=64 time=0.473 ms
64 bytes from 10.1.0.63: icmp_seq=44 ttl=64 time=0.523 ms
64 bytes from 10.1.0.63: icmp_seq=45 ttl=64 time=0.483 ms
64 bytes from 10.1.0.63: icmp_seq=46 ttl=64 time=0.584 ms
64 bytes from 10.1.0.63: icmp_seq=47 ttl=64 time=0.559 ms
64 bytes from 10.1.0.63: icmp_seq=48 ttl=64 time=0.467 ms
64 bytes from 10.1.0.63: icmp_seq=49 ttl=64 time=0.443 ms
64 bytes from 10.1.0.63: icmp_seq=50 ttl=64 time=0.533 ms

--- 10.1.0.63 ping statistics ---
