PING 10.1.0.86 (10.1.0.86) 56(84) bytes of data.
64 bytes from 10.1.0.86: icmp_seq=1 ttl=64 time=0.649 ms
64 bytes from 10.1.0.86: icmp_seq=2 ttl=64 time=0.667 ms
64 bytes from 10.1.0.86: icmp_seq=3 ttl=64 time=0.723 ms
64 bytes from 10.1.0.86: icmp_seq=4 ttl=64 time=0.617 ms
64 bytes from 10.1.0.86: icmp_seq=5 ttl=64 time=0.666 ms
64 bytes from 10.1.0.86: icmp_seq=6 ttl=64 time=0.643 ms
64 bytes from 10.1.0.86: icmp_seq=7 ttl=64 time=0.657 ms
64 bytes from 10.1.0.86: icmp_seq=8 ttl=64 time=0.733 ms
64 bytes from 10.1.0.86: icmp_seq=9 ttl=64 time=0.698 ms
64 bytes from 10.1.0.86: icmp_seq=10 ttl=64 time=0.690 ms
64 bytes from 10.1.0.86: icmp_seq=11 ttl=64 time=0.717 ms
64 bytes from 10.1.0.86: icmp_seq=12 ttl=64 time=0.662 ms
64 bytes from 10.1.0.86: icmp_seq=13 ttl=64 time=0.717 ms
64 bytes from 10.1.0.86: icmp_seq=14 ttl=64 time=0.760 ms
64 bytes from 10.1.0.86: icmp_seq=15 ttl=64 time=0.649 ms
64 bytes from 10.1.0.86: icmp_seq=16 ttl=64 time=0.589 ms
64 bytes from 10.1.0.86: icmp_seq=17 ttl=64 time=0.704 ms
64 bytes from 10.1.0.86: icmp_seq=18 ttl=64 time=0.664 ms
64 bytes from 10.1.0.86: icmp_seq=19 ttl=64 time=0.720 ms
64 bytes from 10.1.0.86: icmp_seq=20 ttl=64 time=0.735 ms
64 bytes from 10.1.0.86: icmp_seq=21 ttl=64 time=0.597 ms
64 bytes from 10.1.0.86: icmp_seq=22 ttl=64 time=0.604 ms
64 bytes from 10.1.0.86: icmp_seq=23 ttl=64 time=0.711 ms
64 bytes from 10.1.0.86: icmp_seq=24 ttl=64 time=0.671 ms
64 bytes from 10.1.0.86: icmp_seq=25 ttl=64 time=0.660 ms
64 bytes from 10.1.0.86: icmp_seq=26 ttl=64 time=0.710 ms
64 bytes from 10.1.0.86: icmp_seq=27 ttl=64 time=0.647 ms
64 bytes from 10.1.0.86: icmp_seq=28 ttl=64 time=0.659 ms
64 bytes from 10.1.0.86: icmp_seq=29 ttl=64 time=0.709 ms
64 bytes from 10.1.0.86: icmp_seq=30 ttl=64 time=0.605 ms
64 bytes from 10.1.0.86: icmp_seq=31 ttl=64 time=0.601 ms
64 bytes from 10.1.0.86: icmp_seq=32 ttl=64 time=0.673 ms
64 bytes from 10.1.0.86: icmp_seq=33 ttl=64 time=0.659 ms
64 bytes from 10.1.0.86: icmp_seq=34 ttl=64 time=0.713 ms
64 bytes from 10.1.0.86: icmp_seq=35 ttl=64 time=0.661 ms
64 bytes from 10.1.0.86: icmp_seq=36 ttl=64 time=0.707 ms
64 bytes from 10.1.0.86: icmp_seq=37 ttl=64 time=0.603 ms
64 bytes from 10.1.0.86: icmp_seq=38 ttl=64 time=0.650 ms
64 bytes from 10.1.0.86: icmp_seq=39 ttl=64 time=0.685 ms
64 bytes from 10.1.0.86: icmp_seq=40 ttl=64 time=0.852 ms
64 bytes from 10.1.0.86: icmp_seq=41 ttl=64 time=0.681 ms
64 bytes from 10.1.0.86: icmp_seq=42 ttl=64 time=0.750 ms
64 bytes from 10.1.0.86: icmp_seq=43 ttl=64 time=0.576 ms
64 bytes from 10.1.0.86: icmp_seq=44 ttl=64 time=0.664 ms
64 bytes from 10.1.0.86: icmp_seq=45 ttl=64 time=0.604 ms
64 bytes from 10.1.0.86: icmp_seq=46 ttl=64 time=0.608 ms
64 bytes from 10.1.0.86: icmp_seq=47 ttl=64 time=0.833 ms
64 bytes from 10.1.0.86: icmp_seq=48 ttl=64 time=0.731 ms
64 bytes from 10.1.0.86: icmp_seq=49 ttl=64 time=0.685 ms
64 bytes from 10.1.0.86: icmp_seq=50 ttl=64 time=0.728 ms

--- 10.1.0.86 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50176ms
rtt min/avg/max/mdev = 0.576/0.677/0.852/0.066 ms
PING 10.1.1.100 (10.1.1.100) 56(84) bytes of data.
64 bytes from 10.1.1.100: icmp_seq=1 ttl=64 time=0.710 ms
64 bytes from 10.1.1.100: icmp_seq=2 ttl=64 time=0.718 ms
64 bytes from 10.1.1.100: icmp_seq=3 ttl=64 time=0.711 ms
64 bytes from 10.1.1.100: icmp_seq=4 ttl=64 time=0.828 ms
64 bytes from 10.1.1.100: icmp_seq=5 ttl=64 time=0.664 ms
64 bytes from 10.1.1.100: icmp_seq=6 ttl=64 time=0.735 ms
64 bytes from 10.1.1.100: icmp_seq=7 ttl=64 time=0.779 ms
64 bytes from 10.1.1.100: icmp_seq=8 ttl=64 time=0.788 ms
64 bytes from 10.1.1.100: icmp_seq=9 ttl=64 time=0.677 ms
64 bytes from 10.1.1.100: icmp_seq=10 ttl=64 time=0.662 ms
64 bytes from 10.1.1.100: icmp_seq=11 ttl=64 time=0.653 ms
64 bytes from 10.1.1.100: icmp_seq=12 ttl=64 time=0.654 ms
64 bytes from 10.1.1.100: icmp_seq=13 ttl=64 time=0.760 ms
64 bytes from 10.1.1.100: icmp_seq=14 ttl=64 time=0.710 ms
64 bytes from 10.1.1.100: icmp_seq=15 ttl=64 time=0.662 ms
64 bytes from 10.1.1.100: icmp_seq=16 ttl=64 time=0.759 ms
64 bytes from 10.1.1.100: icmp_seq=17 ttl=64 time=0.725 ms
64 bytes from 10.1.1.100: icmp_seq=18 ttl=64 time=0.711 ms
64 bytes from 10.1.1.100: icmp_seq=19 ttl=64 time=0.763 ms
64 bytes from 10.1.1.100: icmp_seq=20 ttl=64 time=0.658 ms
64 bytes from 10.1.1.100: icmp_seq=21 ttl=64 time=0.770 ms
64 bytes from 10.1.1.100: icmp_seq=22 ttl=64 time=0.734 ms
64 bytes from 10.1.1.100: icmp_seq=23 ttl=64 time=0.719 ms
64 bytes from 10.1.1.100: icmp_seq=24 ttl=64 time=0.722 ms
64 bytes from 10.1.1.100: icmp_seq=25 ttl=64 time=0.656 ms
64 bytes from 10.1.1.100: icmp_seq=26 ttl=64 time=0.765 ms
64 bytes from 10.1.1.100: icmp_seq=27 ttl=64 time=0.724 ms
64 bytes from 10.1.1.100: icmp_seq=28 ttl=64 time=0.782 ms
64 bytes from 10.1.1.100: icmp_seq=29 ttl=64 time=0.765 ms
64 bytes from 10.1.1.100: icmp_seq=30 ttl=64 time=0.679 ms
64 bytes from 10.1.1.100: icmp_seq=31 ttl=64 time=0.715 ms
64 bytes from 10.1.1.100: icmp_seq=32 ttl=64 time=0.776 ms
64 bytes from 10.1.1.100: icmp_seq=33 ttl=64 time=0.751 ms
64 bytes from 10.1.1.100: icmp_seq=34 ttl=64 time=0.747 ms
64 bytes from 10.1.1.100: icmp_seq=35 ttl=64 time=0.657 ms
64 bytes from 10.1.1.100: icmp_seq=36 ttl=64 time=0.783 ms
64 bytes from 10.1.1.100: icmp_seq=37 ttl=64 time=0.745 ms
64 bytes from 10.1.1.100: icmp_seq=38 ttl=64 time=0.926 ms
64 bytes from 10.1.1.100: icmp_seq=39 ttl=64 time=0.673 ms
64 bytes from 10.1.1.100: icmp_seq=40 ttl=64 time=0.658 ms
64 bytes from 10.1.1.100: icmp_seq=41 ttl=64 time=0.684 ms
64 bytes from 10.1.1.100: icmp_seq=42 ttl=64 time=0.777 ms
64 bytes from 10.1.1.100: icmp_seq=43 ttl=64 time=0.687 ms
64 bytes from 10.1.1.100: icmp_seq=44 ttl=64 time=0.648 ms
64 bytes from 10.1.1.100: icmp_seq=45 ttl=64 time=0.774 ms
64 bytes from 10.1.1.100: icmp_seq=46 ttl=64 time=0.664 ms
64 bytes from 10.1.1.100: icmp_seq=47 ttl=64 time=0.771 ms
64 bytes from 10.1.1.100: icmp_seq=48 ttl=64 time=0.657 ms
64 bytes from 10.1.1.100: icmp_seq=49 ttl=64 time=0.734 ms
64 bytes from 10.1.1.100: icmp_seq=50 ttl=64 time=0.719 ms

--- 10.1.1.100 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50121ms
rtt min/avg/max/mdev = 0.648/0.723/0.926/0.064 ms
PING 10.1.2.30 (10.1.2.30) 56(84) bytes of data.
64 bytes from 10.1.2.30: icmp_seq=1 ttl=64 time=0.023 ms
64 bytes from 10.1.2.30: icmp_seq=2 ttl=64 time=0.028 ms
64 bytes from 10.1.2.30: icmp_seq=3 ttl=64 time=0.026 ms
64 bytes from 10.1.2.30: icmp_seq=4 ttl=64 time=0.027 ms
64 bytes from 10.1.2.30: icmp_seq=5 ttl=64 time=0.035 ms
64 bytes from 10.1.2.30: icmp_seq=6 ttl=64 time=0.027 ms
64 bytes from 10.1.2.30: icmp_seq=7 ttl=64 time=0.037 ms
64 bytes from 10.1.2.30: icmp_seq=8 ttl=64 time=0.025 ms
64 bytes from 10.1.2.30: icmp_seq=9 ttl=64 time=0.035 ms
64 bytes from 10.1.2.30: icmp_seq=10 ttl=64 time=0.035 ms
64 bytes from 10.1.2.30: icmp_seq=11 ttl=64 time=0.029 ms
64 bytes from 10.1.2.30: icmp_seq=12 ttl=64 time=0.037 ms
64 bytes from 10.1.2.30: icmp_seq=13 ttl=64 time=0.037 ms
64 bytes from 10.1.2.30: icmp_seq=14 ttl=64 time=0.026 ms
64 bytes from 10.1.2.30: icmp_seq=15 ttl=64 time=0.036 ms
64 bytes from 10.1.2.30: icmp_seq=16 ttl=64 time=0.037 ms
64 bytes from 10.1.2.30: icmp_seq=17 ttl=64 time=0.026 ms
64 bytes from 10.1.2.30: icmp_seq=18 ttl=64 time=0.037 ms
64 bytes from 10.1.2.30: icmp_seq=19 ttl=64 time=0.027 ms
64 bytes from 10.1.2.30: icmp_seq=20 ttl=64 time=0.026 ms
64 bytes from 10.1.2.30: icmp_seq=21 ttl=64 time=0.037 ms
64 bytes from 10.1.2.30: icmp_seq=22 ttl=64 time=0.037 ms
64 bytes from 10.1.2.30: icmp_seq=23 ttl=64 time=0.026 ms
64 bytes from 10.1.2.30: icmp_seq=24 ttl=64 time=0.026 ms
64 bytes from 10.1.2.30: icmp_seq=25 ttl=64 time=0.026 ms
64 bytes from 10.1.2.30: icmp_seq=26 ttl=64 time=0.036 ms
64 bytes from 10.1.2.30: icmp_seq=27 ttl=64 time=0.026 ms
64 bytes from 10.1.2.30: icmp_seq=28 ttl=64 time=0.043 ms
