PING 10.1.0.175 (10.1.0.175) 56(84) bytes of data.
64 bytes from 10.1.0.175: icmp_seq=1 ttl=64 time=0.012 ms
64 bytes from 10.1.0.175: icmp_seq=2 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=3 ttl=64 time=0.024 ms
64 bytes from 10.1.0.175: icmp_seq=4 ttl=64 time=0.029 ms
64 bytes from 10.1.0.175: icmp_seq=5 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=6 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=7 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=8 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=9 ttl=64 time=0.020 ms
64 bytes from 10.1.0.175: icmp_seq=10 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=11 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=12 ttl=64 time=0.024 ms
64 bytes from 10.1.0.175: icmp_seq=13 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=14 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=15 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=16 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=17 ttl=64 time=0.024 ms
64 bytes from 10.1.0.175: icmp_seq=18 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=19 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=20 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=21 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=22 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=23 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=24 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=25 ttl=64 time=0.024 ms
64 bytes from 10.1.0.175: icmp_seq=26 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=27 ttl=64 time=0.028 ms
64 bytes from 10.1.0.175: icmp_seq=28 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=29 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=30 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=31 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=32 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=33 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=34 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=35 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=36 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=37 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=38 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=39 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=40 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=41 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=42 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=43 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=44 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=45 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=46 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=47 ttl=64 time=0.026 ms
64 bytes from 10.1.0.175: icmp_seq=48 ttl=64 time=0.025 ms
64 bytes from 10.1.0.175: icmp_seq=49 ttl=64 time=0.027 ms
64 bytes from 10.1.0.175: icmp_seq=50 ttl=64 time=0.026 ms

--- 10.1.0.175 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50162ms
rtt min/avg/max/mdev = 0.012/0.025/0.029/0.005 ms
PING 10.1.1.122 (10.1.1.122) 56(84) bytes of data.
64 bytes from 10.1.1.122: icmp_seq=1 ttl=64 time=0.800 ms
64 bytes from 10.1.1.122: icmp_seq=2 ttl=64 time=0.718 ms
64 bytes from 10.1.1.122: icmp_seq=3 ttl=64 time=0.733 ms
64 bytes from 10.1.1.122: icmp_seq=4 ttl=64 time=0.739 ms
64 bytes from 10.1.1.122: icmp_seq=5 ttl=64 time=0.793 ms
64 bytes from 10.1.1.122: icmp_seq=6 ttl=64 time=0.793 ms
64 bytes from 10.1.1.122: icmp_seq=7 ttl=64 time=0.695 ms
64 bytes from 10.1.1.122: icmp_seq=8 ttl=64 time=0.781 ms
64 bytes from 10.1.1.122: icmp_seq=9 ttl=64 time=0.786 ms
64 bytes from 10.1.1.122: icmp_seq=10 ttl=64 time=0.785 ms
64 bytes from 10.1.1.122: icmp_seq=11 ttl=64 time=0.756 ms
64 bytes from 10.1.1.122: icmp_seq=12 ttl=64 time=0.715 ms
64 bytes from 10.1.1.122: icmp_seq=13 ttl=64 time=0.740 ms
64 bytes from 10.1.1.122: icmp_seq=14 ttl=64 time=0.791 ms
64 bytes from 10.1.1.122: icmp_seq=15 ttl=64 time=0.802 ms
64 bytes from 10.1.1.122: icmp_seq=16 ttl=64 time=0.776 ms
64 bytes from 10.1.1.122: icmp_seq=17 ttl=64 time=0.728 ms
64 bytes from 10.1.1.122: icmp_seq=18 ttl=64 time=0.778 ms
64 bytes from 10.1.1.122: icmp_seq=19 ttl=64 time=0.785 ms
64 bytes from 10.1.1.122: icmp_seq=20 ttl=64 time=0.785 ms
64 bytes from 10.1.1.122: icmp_seq=21 ttl=64 time=0.676 ms
64 bytes from 10.1.1.122: icmp_seq=22 ttl=64 time=0.695 ms
64 bytes from 10.1.1.122: icmp_seq=23 ttl=64 time=0.732 ms
64 bytes from 10.1.1.122: icmp_seq=24 ttl=64 time=0.789 ms
64 bytes from 10.1.1.122: icmp_seq=25 ttl=64 time=0.790 ms
64 bytes from 10.1.1.122: icmp_seq=26 ttl=64 time=0.770 ms
64 bytes from 10.1.1.122: icmp_seq=27 ttl=64 time=0.679 ms
64 bytes from 10.1.1.122: icmp_seq=28 ttl=64 time=0.778 ms
64 bytes from 10.1.1.122: icmp_seq=29 ttl=64 time=0.734 ms
64 bytes from 10.1.1.122: icmp_seq=30 ttl=64 time=0.744 ms
64 bytes from 10.1.1.122: icmp_seq=31 ttl=64 time=0.735 ms
64 bytes from 10.1.1.122: icmp_seq=32 ttl=64 time=0.723 ms
64 bytes from 10.1.1.122: icmp_seq=33 ttl=64 time=0.778 ms
64 bytes from 10.1.1.122: icmp_seq=34 ttl=64 time=0.779 ms
64 bytes from 10.1.1.122: icmp_seq=35 ttl=64 time=0.784 ms
64 bytes from 10.1.1.122: icmp_seq=36 ttl=64 time=0.776 ms
64 bytes from 10.1.1.122: icmp_seq=37 ttl=64 time=0.681 ms
64 bytes from 10.1.1.122: icmp_seq=38 ttl=64 time=0.767 ms
64 bytes from 10.1.1.122: icmp_seq=39 ttl=64 time=0.787 ms
64 bytes from 10.1.1.122: icmp_seq=40 ttl=64 time=0.781 ms
64 bytes from 10.1.1.122: icmp_seq=41 ttl=64 time=0.735 ms
64 bytes from 10.1.1.122: icmp_seq=42 ttl=64 time=0.680 ms
64 bytes from 10.1.1.122: icmp_seq=43 ttl=64 time=0.771 ms
64 bytes from 10.1.1.122: icmp_seq=44 ttl=64 time=0.764 ms
64 bytes from 10.1.1.122: icmp_seq=45 ttl=64 time=0.745 ms
64 bytes from 10.1.1.122: icmp_seq=46 ttl=64 time=0.741 ms
64 bytes from 10.1.1.122: icmp_seq=47 ttl=64 time=0.695 ms
64 bytes from 10.1.1.122: icmp_seq=48 ttl=64 time=0.744 ms
64 bytes from 10.1.1.122: icmp_seq=49 ttl=64 time=0.742 ms
64 bytes from 10.1.1.122: icmp_seq=50 ttl=64 time=0.751 ms

--- 10.1.1.122 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50171ms
rtt min/avg/max/mdev = 0.676/0.752/0.802/0.044 ms
PING 10.1.2.12 (10.1.2.12) 56(84) bytes of data.
64 bytes from 10.1.2.12: icmp_seq=1 ttl=64 time=1.06 ms
64 bytes from 10.1.2.12: icmp_seq=2 ttl=64 time=1.05 ms
64 bytes from 10.1.2.12: icmp_seq=3 ttl=64 time=1.06 ms
64 bytes from 10.1.2.12: icmp_seq=4 ttl=64 time=1.23 ms
64 bytes from 10.1.2.12: icmp_seq=5 ttl=64 time=1.06 ms
64 bytes from 10.1.2.12: icmp_seq=6 ttl=64 time=1.01 ms
64 bytes from 10.1.2.12: icmp_seq=7 ttl=64 time=1.06 ms
64 bytes from 10.1.2.12: icmp_seq=8 ttl=64 time=1.14 ms
64 bytes from 10.1.2.12: icmp_seq=9 ttl=64 time=1.06 ms
64 bytes from 10.1.2.12: icmp_seq=10 ttl=64 time=1.07 ms
64 bytes from 10.1.2.12: icmp_seq=11 ttl=64 time=1.07 ms
64 bytes from 10.1.2.12: icmp_seq=12 ttl=64 time=1.06 ms
64 bytes from 10.1.2.12: icmp_seq=13 ttl=64 time=0.994 ms
64 bytes from 10.1.2.12: icmp_seq=14 ttl=64 time=0.998 ms
64 bytes from 10.1.2.12: icmp_seq=15 ttl=64 time=1.06 ms
64 bytes from 10.1.2.12: icmp_seq=16 ttl=64 time=1.07 ms
64 bytes from 10.1.2.12: icmp_seq=17 ttl=64 time=1.06 ms
