PING 10.1.0.175 (10.1.0.175) 56(84) bytes of data.
64 bytes from 10.1.0.175: icmp_seq=1 ttl=64 time=0.687 ms
64 bytes from 10.1.0.175: icmp_seq=2 ttl=64 time=0.796 ms
64 bytes from 10.1.0.175: icmp_seq=3 ttl=64 time=0.693 ms
64 bytes from 10.1.0.175: icmp_seq=4 ttl=64 time=0.681 ms
64 bytes from 10.1.0.175: icmp_seq=5 ttl=64 time=0.806 ms
64 bytes from 10.1.0.175: icmp_seq=6 ttl=64 time=0.751 ms
64 bytes from 10.1.0.175: icmp_seq=7 ttl=64 time=0.797 ms
64 bytes from 10.1.0.175: icmp_seq=8 ttl=64 time=0.745 ms
64 bytes from 10.1.0.175: icmp_seq=9 ttl=64 time=0.863 ms
64 bytes from 10.1.0.175: icmp_seq=10 ttl=64 time=0.822 ms
64 bytes from 10.1.0.175: icmp_seq=11 ttl=64 time=0.757 ms
64 bytes from 10.1.0.175: icmp_seq=12 ttl=64 time=0.800 ms
64 bytes from 10.1.0.175: icmp_seq=13 ttl=64 time=0.727 ms
64 bytes from 10.1.0.175: icmp_seq=14 ttl=64 time=0.768 ms
64 bytes from 10.1.0.175: icmp_seq=15 ttl=64 time=0.685 ms
64 bytes from 10.1.0.175: icmp_seq=16 ttl=64 time=0.688 ms
64 bytes from 10.1.0.175: icmp_seq=17 ttl=64 time=0.798 ms
64 bytes from 10.1.0.175: icmp_seq=18 ttl=64 time=0.741 ms
64 bytes from 10.1.0.175: icmp_seq=19 ttl=64 time=0.768 ms
64 bytes from 10.1.0.175: icmp_seq=20 ttl=64 time=0.799 ms
64 bytes from 10.1.0.175: icmp_seq=21 ttl=64 time=0.696 ms
64 bytes from 10.1.0.175: icmp_seq=22 ttl=64 time=0.801 ms
64 bytes from 10.1.0.175: icmp_seq=23 ttl=64 time=0.794 ms
64 bytes from 10.1.0.175: icmp_seq=24 ttl=64 time=0.776 ms
64 bytes from 10.1.0.175: icmp_seq=25 ttl=64 time=0.744 ms
64 bytes from 10.1.0.175: icmp_seq=26 ttl=64 time=0.861 ms
64 bytes from 10.1.0.175: icmp_seq=27 ttl=64 time=0.826 ms
64 bytes from 10.1.0.175: icmp_seq=28 ttl=64 time=0.873 ms
64 bytes from 10.1.0.175: icmp_seq=29 ttl=64 time=0.764 ms
64 bytes from 10.1.0.175: icmp_seq=30 ttl=64 time=0.753 ms
64 bytes from 10.1.0.175: icmp_seq=31 ttl=64 time=0.800 ms
64 bytes from 10.1.0.175: icmp_seq=32 ttl=64 time=0.746 ms
64 bytes from 10.1.0.175: icmp_seq=33 ttl=64 time=0.745 ms
64 bytes from 10.1.0.175: icmp_seq=34 ttl=64 time=0.704 ms
64 bytes from 10.1.0.175: icmp_seq=35 ttl=64 time=0.858 ms
64 bytes from 10.1.0.175: icmp_seq=36 ttl=64 time=0.806 ms
64 bytes from 10.1.0.175: icmp_seq=37 ttl=64 time=0.748 ms
64 bytes from 10.1.0.175: icmp_seq=38 ttl=64 time=0.816 ms
64 bytes from 10.1.0.175: icmp_seq=39 ttl=64 time=0.773 ms
64 bytes from 10.1.0.175: icmp_seq=40 ttl=64 time=0.745 ms
64 bytes from 10.1.0.175: icmp_seq=41 ttl=64 time=0.741 ms
64 bytes from 10.1.0.175: icmp_seq=42 ttl=64 time=0.811 ms
64 bytes from 10.1.0.175: icmp_seq=43 ttl=64 time=0.815 ms
64 bytes from 10.1.0.175: icmp_seq=44 ttl=64 time=0.855 ms
64 bytes from 10.1.0.175: icmp_seq=45 ttl=64 time=0.798 ms
64 bytes from 10.1.0.175: icmp_seq=46 ttl=64 time=0.759 ms
64 bytes from 10.1.0.175: icmp_seq=47 ttl=64 time=0.794 ms
64 bytes from 10.1.0.175: icmp_seq=48 ttl=64 time=0.750 ms
64 bytes from 10.1.0.175: icmp_seq=49 ttl=64 time=0.802 ms
64 bytes from 10.1.0.175: icmp_seq=50 ttl=64 time=0.804 ms

--- 10.1.0.175 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50163ms
rtt min/avg/max/mdev = 0.681/0.774/0.873/0.057 ms
PING 10.1.1.122 (10.1.1.122) 56(84) bytes of data.
64 bytes from 10.1.1.122: icmp_seq=1 ttl=64 time=0.010 ms
64 bytes from 10.1.1.122: icmp_seq=2 ttl=64 time=0.026 ms
64 bytes from 10.1.1.122: icmp_seq=3 ttl=64 time=0.023 ms
64 bytes from 10.1.1.122: icmp_seq=4 ttl=64 time=0.026 ms
64 bytes from 10.1.1.122: icmp_seq=5 ttl=64 time=0.026 ms
64 bytes from 10.1.1.122: icmp_seq=6 ttl=64 time=0.026 ms
