PING 10.1.0.184 (10.1.0.184) 56(84) bytes of data.
64 bytes from 10.1.0.184: icmp_seq=1 ttl=64 time=0.577 ms
64 bytes from 10.1.0.184: icmp_seq=2 ttl=64 time=0.602 ms
64 bytes from 10.1.0.184: icmp_seq=3 ttl=64 time=0.607 ms
64 bytes from 10.1.0.184: icmp_seq=4 ttl=64 time=0.583 ms
64 bytes from 10.1.0.184: icmp_seq=5 ttl=64 time=0.799 ms
64 bytes from 10.1.0.184: icmp_seq=6 ttl=64 time=0.598 ms
64 bytes from 10.1.0.184: icmp_seq=7 ttl=64 time=0.812 ms
64 bytes from 10.1.0.184: icmp_seq=8 ttl=64 time=0.616 ms
64 bytes from 10.1.0.184: icmp_seq=9 ttl=64 time=0.634 ms
64 bytes from 10.1.0.184: icmp_seq=10 ttl=64 time=0.602 ms
64 bytes from 10.1.0.184: icmp_seq=11 ttl=64 time=0.602 ms
64 bytes from 10.1.0.184: icmp_seq=12 ttl=64 time=0.932 ms
64 bytes from 10.1.0.184: icmp_seq=13 ttl=64 time=0.584 ms
64 bytes from 10.1.0.184: icmp_seq=14 ttl=64 time=0.583 ms
64 bytes from 10.1.0.184: icmp_seq=15 ttl=64 time=0.580 ms
64 bytes from 10.1.0.184: icmp_seq=16 ttl=64 time=0.589 ms
64 bytes from 10.1.0.184: icmp_seq=17 ttl=64 time=0.597 ms
64 bytes from 10.1.0.184: icmp_seq=18 ttl=64 time=0.595 ms
64 bytes from 10.1.0.184: icmp_seq=19 ttl=64 time=0.585 ms
64 bytes from 10.1.0.184: icmp_seq=20 ttl=64 time=0.591 ms
64 bytes from 10.1.0.184: icmp_seq=21 ttl=64 time=0.621 ms
64 bytes from 10.1.0.184: icmp_seq=22 ttl=64 time=0.586 ms
64 bytes from 10.1.0.184: icmp_seq=23 ttl=64 time=0.585 ms
64 bytes from 10.1.0.184: icmp_seq=24 ttl=64 time=0.585 ms
64 bytes from 10.1.0.184: icmp_seq=25 ttl=64 time=0.585 ms
64 bytes from 10.1.0.184: icmp_seq=26 ttl=64 time=0.590 ms
64 bytes from 10.1.0.184: icmp_seq=27 ttl=64 time=0.617 ms
64 bytes from 10.1.0.184: icmp_seq=28 ttl=64 time=0.596 ms
64 bytes from 10.1.0.184: icmp_seq=29 ttl=64 time=0.593 ms
64 bytes from 10.1.0.184: icmp_seq=30 ttl=64 time=0.584 ms
64 bytes from 10.1.0.184: icmp_seq=31 ttl=64 time=0.595 ms
64 bytes from 10.1.0.184: icmp_seq=32 ttl=64 time=0.559 ms
64 bytes from 10.1.0.184: icmp_seq=33 ttl=64 time=0.593 ms
64 bytes from 10.1.0.184: icmp_seq=34 ttl=64 time=0.574 ms
64 bytes from 10.1.0.184: icmp_seq=35 ttl=64 time=0.605 ms
64 bytes from 10.1.0.184: icmp_seq=36 ttl=64 time=0.612 ms
64 bytes from 10.1.0.184: icmp_seq=37 ttl=64 time=0.593 ms
64 bytes from 10.1.0.184: icmp_seq=38 ttl=64 time=0.790 ms
64 bytes from 10.1.0.184: icmp_seq=39 ttl=64 time=0.592 ms
64 bytes from 10.1.0.184: icmp_seq=40 ttl=64 time=0.591 ms
64 bytes from 10.1.0.184: icmp_seq=41 ttl=64 time=0.573 ms
64 bytes from 10.1.0.184: icmp_seq=42 ttl=64 time=0.596 ms
64 bytes from 10.1.0.184: icmp_seq=43 ttl=64 time=0.586 ms
64 bytes from 10.1.0.184: icmp_seq=44 ttl=64 time=0.607 ms
64 bytes from 10.1.0.184: icmp_seq=45 ttl=64 time=0.768 ms
64 bytes from 10.1.0.184: icmp_seq=46 ttl=64 time=0.600 ms
64 bytes from 10.1.0.184: icmp_seq=47 ttl=64 time=0.795 ms
64 bytes from 10.1.0.184: icmp_seq=48 ttl=64 time=0.597 ms
64 bytes from 10.1.0.184: icmp_seq=49 ttl=64 time=0.781 ms
64 bytes from 10.1.0.184: icmp_seq=50 ttl=64 time=0.770 ms

--- 10.1.0.184 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50176ms
rtt min/avg/max/mdev = 0.559/0.627/0.932/0.086 ms
PING 10.1.1.35 (10.1.1.35) 56(84) bytes of data.
64 bytes from 10.1.1.35: icmp_seq=1 ttl=64 time=0.012 ms
64 bytes from 10.1.1.35: icmp_seq=2 ttl=64 time=0.028 ms
64 bytes from 10.1.1.35: icmp_seq=3 ttl=64 time=0.028 ms
64 bytes from 10.1.1.35: icmp_seq=4 ttl=64 time=0.028 ms
64 bytes from 10.1.1.35: icmp_seq=5 ttl=64 time=0.028 ms
64 bytes from 10.1.1.35: icmp_seq=6 ttl=64 time=0.028 ms
64 bytes from 10.1.1.35: icmp_seq=7 ttl=64 time=0.028 ms
64 bytes from 10.1.1.35: icmp_seq=8 ttl=64 time=0.027 ms
64 bytes from 10.1.1.35: icmp_seq=9 ttl=64 time=0.028 ms
64 bytes from 10.1.1.35: icmp_seq=10 ttl=64 time=0.029 ms
64 bytes from 10.1.1.35: icmp_seq=11 ttl=64 time=0.028 ms
64 bytes from 10.1.1.35: icmp_seq=12 ttl=64 time=0.028 ms
