# From 52.66.227.171 in ap-south-1c
PING 10.1.0.184 (10.1.0.184) 56(84) bytes of data.
64 bytes from 10.1.0.184: icmp_seq=1 ttl=64 time=0.307 ms
64 bytes from 10.1.0.184: icmp_seq=2 ttl=64 time=0.288 ms
64 bytes from 10.1.0.184: icmp_seq=3 ttl=64 time=0.302 ms
64 bytes from 10.1.0.184: icmp_seq=4 ttl=64 time=0.300 ms
64 bytes from 10.1.0.184: icmp_seq=5 ttl=64 time=0.301 ms
64 bytes from 10.1.0.184: icmp_seq=6 ttl=64 time=0.299 ms
64 bytes from 10.1.0.184: icmp_seq=7 ttl=64 time=0.487 ms
64 bytes from 10.1.0.184: icmp_seq=8 ttl=64 time=0.293 ms
64 bytes from 10.1.0.184: icmp_seq=9 ttl=64 time=0.281 ms
64 bytes from 10.1.0.184: icmp_seq=10 ttl=64 time=0.293 ms
64 bytes from 10.1.0.184: icmp_seq=11 ttl=64 time=0.310 ms
64 bytes from 10.1.0.184: icmp_seq=12 ttl=64 time=0.499 ms
64 bytes from 10.1.0.184: icmp_seq=13 ttl=64 time=0.295 ms
64 bytes from 10.1.0.184: icmp_seq=14 ttl=64 time=0.305 ms
64 bytes from 10.1.0.184: icmp_seq=15 ttl=64 time=0.312 ms
64 bytes from 10.1.0.184: icmp_seq=16 ttl=64 time=0.286 ms
64 bytes from 10.1.0.184: icmp_seq=17 ttl=64 time=0.305 ms
64 bytes from 10.1.0.184: icmp_seq=18 ttl=64 time=0.291 ms
64 bytes from 10.1.0.184: icmp_seq=19 ttl=64 time=0.337 ms
64 bytes from 10.1.0.184: icmp_seq=20 ttl=64 time=0.295 ms
64 bytes from 10.1.0.184: icmp_seq=21 ttl=64 time=0.307 ms
64 bytes from 10.1.0.184: icmp_seq=22 ttl=64 time=0.288 ms
64 bytes from 10.1.0.184: icmp_seq=23 ttl=64 time=0.514 ms
64 bytes from 10.1.0.184: icmp_seq=24 ttl=64 time=0.303 ms
64 bytes from 10.1.0.184: icmp_seq=25 ttl=64 time=0.291 ms
64 bytes from 10.1.0.184: icmp_seq=26 ttl=64 time=0.288 ms
64 bytes from 10.1.0.184: icmp_seq=27 ttl=64 time=0.307 ms
64 bytes from 10.1.0.184: icmp_seq=28 ttl=64 time=0.289 ms
64 bytes from 10.1.0.184: icmp_seq=29 ttl=64 time=0.308 ms
64 bytes from 10.1.0.184: icmp_seq=30 ttl=64 time=0.288 ms
64 bytes from 10.1.0.184: icmp_seq=31 ttl=64 time=0.289 ms
64 bytes from 10.1.0.184: icmp_seq=32 ttl=64 time=0.478 ms
64 bytes from 10.1.0.184: icmp_seq=33 ttl=64 time=0.309 ms
64 bytes from 10.1.0.184: icmp_seq=34 ttl=64 time=0.470 ms
64 bytes from 10.1.0.184: icmp_seq=35 ttl=64 time=0.294 ms
64 bytes from 10.1.0.184: icmp_seq=36 ttl=64 time=0.301 ms
64 bytes from 10.1.0.184: icmp_seq=37 ttl=64 time=0.373 ms
64 bytes from 10.1.0.184: icmp_seq=38 ttl=64 time=0.300 ms
64 bytes from 10.1.0.184: icmp_seq=39 ttl=64 time=0.297 ms
64 bytes from 10.1.0.184: icmp_seq=40 ttl=64 time=0.324 ms
64 bytes from 10.1.0.184: icmp_seq=41 ttl=64 time=0.469 ms
64 bytes from 10.1.0.184: icmp_seq=42 ttl=64 time=0.309 ms
64 bytes from 10.1.0.184: icmp_seq=43 ttl=64 time=0.280 ms
64 bytes from 10.1.0.184: icmp_seq=44 ttl=64 time=0.287 ms
64 bytes from 10.1.0.184: icmp_seq=45 ttl=64 time=0.297 ms
64 bytes from 10.1.0.184: icmp_seq=46 ttl=64 time=0.310 ms
64 bytes from 10.1.0.184: icmp_seq=47 ttl=64 time=0.291 ms
64 bytes from 10.1.0.184: icmp_seq=48 ttl=64 time=0.298 ms
64 bytes from 10.1.0.184: icmp_seq=49 ttl=64 time=0.291 ms
64 bytes from 10.1.0.184: icmp_seq=50 ttl=64 time=0.295 ms
64 bytes from 10.1.0.184: icmp_seq=51 ttl=64 time=0.265 ms
64 bytes from 10.1.0.184: icmp_seq=52 ttl=64 time=0.325 ms
64 bytes from 10.1.0.184: icmp_seq=53 ttl=64 time=0.283 ms
64 bytes from 10.1.0.184: icmp_seq=54 ttl=64 time=0.294 ms
64 bytes from 10.1.0.184: icmp_seq=55 ttl=64 time=0.291 ms
64 bytes from 10.1.0.184: icmp_seq=56 ttl=64 time=0.292 ms
64 bytes from 10.1.0.184: icmp_seq=57 ttl=64 time=0.295 ms
64 bytes from 10.1.0.184: icmp_seq=58 ttl=64 time=0.289 ms
64 bytes from 10.1.0.184: icmp_seq=59 ttl=64 time=0.280 ms
64 bytes from 10.1.0.184: icmp_seq=60 ttl=64 time=0.284 ms
64 bytes from 10.1.0.184: icmp_seq=61 ttl=64 time=0.311 ms
64 bytes from 10.1.0.184: icmp_seq=62 ttl=64 time=0.290 ms
64 bytes from 10.1.0.184: icmp_seq=63 ttl=64 time=0.290 ms
64 bytes from 10.1.0.184: icmp_seq=64 ttl=64 time=0.325 ms
64 bytes from 10.1.0.184: icmp_seq=65 ttl=64 time=0.284 ms
64 bytes from 10.1.0.184: icmp_seq=66 ttl=64 time=0.292 ms
64 bytes from 10.1.0.184: icmp_seq=67 ttl=64 time=0.291 ms
64 bytes from 10.1.0.184: icmp_seq=68 ttl=64 time=0.661 ms
64 bytes from 10.1.0.184: icmp_seq=69 ttl=64 time=0.292 ms
64 bytes from 10.1.0.184: icmp_seq=70 ttl=64 time=0.292 ms
64 bytes from 10.1.0.184: icmp_seq=71 ttl=64 time=0.290 ms
64 bytes from 10.1.0.184: icmp_seq=72 ttl=64 time=0.288 ms
64 bytes from 10.1.0.184: icmp_seq=73 ttl=64 time=0.299 ms
64 bytes from 10.1.0.184: icmp_seq=74 ttl=64 time=0.298 ms
64 bytes from 10.1.0.184: icmp_seq=75 ttl=64 time=0.314 ms
64 bytes from 10.1.0.184: icmp_seq=76 ttl=64 time=0.293 ms
64 bytes from 10.1.0.184: icmp_seq=77 ttl=64 time=0.301 ms
64 bytes from 10.1.0.184: icmp_seq=78 ttl=64 time=0.291 ms
64 bytes from 10.1.0.184: icmp_seq=79 ttl=64 time=0.316 ms
64 bytes from 10.1.0.184: icmp_seq=80 ttl=64 time=0.289 ms
64 bytes from 10.1.0.184: icmp_seq=81 ttl=64 time=0.306 ms
64 bytes from 10.1.0.184: icmp_seq=82 ttl=64 time=0.296 ms
64 bytes from 10.1.0.184: icmp_seq=83 ttl=64 time=0.304 ms
64 bytes from 10.1.0.184: icmp_seq=84 ttl=64 time=0.315 ms
64 bytes from 10.1.0.184: icmp_seq=85 ttl=64 time=0.289 ms
64 bytes from 10.1.0.184: icmp_seq=86 ttl=64 time=0.328 ms
64 bytes from 10.1.0.184: icmp_seq=87 ttl=64 time=0.304 ms
64 bytes from 10.1.0.184: icmp_seq=88 ttl=64 time=0.297 ms
64 bytes from 10.1.0.184: icmp_seq=89 ttl=64 time=0.294 ms
64 bytes from 10.1.0.184: icmp_seq=90 ttl=64 time=0.603 ms
64 bytes from 10.1.0.184: icmp_seq=91 ttl=64 time=0.283 ms
64 bytes from 10.1.0.184: icmp_seq=92 ttl=64 time=0.285 ms
64 bytes from 10.1.0.184: icmp_seq=93 ttl=64 time=0.299 ms
64 bytes from 10.1.0.184: icmp_seq=94 ttl=64 time=0.298 ms
64 bytes from 10.1.0.184: icmp_seq=95 ttl=64 time=0.282 ms
64 bytes from 10.1.0.184: icmp_seq=96 ttl=64 time=0.298 ms
64 bytes from 10.1.0.184: icmp_seq=97 ttl=64 time=0.296 ms
64 bytes from 10.1.0.184: icmp_seq=98 ttl=64 time=0.286 ms
64 bytes from 10.1.0.184: icmp_seq=99 ttl=64 time=0.290 ms
64 bytes from 10.1.0.184: icmp_seq=100 ttl=64 time=0.335 ms

--- 10.1.0.184 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101368ms
rtt min/avg/max/mdev = 0.265/0.316/0.661/0.066 ms
PING 10.1.1.35 (10.1.1.35) 56(84) bytes of data.
64 bytes from 10.1.1.35: icmp_seq=1 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=2 ttl=64 time=1.22 ms
64 bytes from 10.1.1.35: icmp_seq=3 ttl=64 time=1.25 ms
64 bytes from 10.1.1.35: icmp_seq=4 ttl=64 time=1.23 ms
64 bytes from 10.1.1.35: icmp_seq=5 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=6 ttl=64 time=1.23 ms
64 bytes from 10.1.1.35: icmp_seq=7 ttl=64 time=1.12 ms
64 bytes from 10.1.1.35: icmp_seq=8 ttl=64 time=1.11 ms
64 bytes from 10.1.1.35: icmp_seq=9 ttl=64 time=1.05 ms
64 bytes from 10.1.1.35: icmp_seq=10 ttl=64 time=1.28 ms
64 bytes from 10.1.1.35: icmp_seq=11 ttl=64 time=1.12 ms
64 bytes from 10.1.1.35: icmp_seq=12 ttl=64 time=1.35 ms
64 bytes from 10.1.1.35: icmp_seq=13 ttl=64 time=1.25 ms
64 bytes from 10.1.1.35: icmp_seq=14 ttl=64 time=1.23 ms
64 bytes from 10.1.1.35: icmp_seq=15 ttl=64 time=1.39 ms
64 bytes from 10.1.1.35: icmp_seq=16 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=17 ttl=64 time=1.05 ms
64 bytes from 10.1.1.35: icmp_seq=18 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=19 ttl=64 time=1.32 ms
64 bytes from 10.1.1.35: icmp_seq=20 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=21 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=22 ttl=64 time=1.24 ms
64 bytes from 10.1.1.35: icmp_seq=23 ttl=64 time=1.24 ms
64 bytes from 10.1.1.35: icmp_seq=24 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=25 ttl=64 time=1.05 ms
64 bytes from 10.1.1.35: icmp_seq=26 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=27 ttl=64 time=1.08 ms
64 bytes from 10.1.1.35: icmp_seq=28 ttl=64 time=1.22 ms
64 bytes from 10.1.1.35: icmp_seq=29 ttl=64 time=1.26 ms
64 bytes from 10.1.1.35: icmp_seq=30 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=31 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=32 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=33 ttl=64 time=1.13 ms
64 bytes from 10.1.1.35: icmp_seq=34 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=35 ttl=64 time=1.11 ms
64 bytes from 10.1.1.35: icmp_seq=36 ttl=64 time=1.42 ms
64 bytes from 10.1.1.35: icmp_seq=37 ttl=64 time=1.11 ms
64 bytes from 10.1.1.35: icmp_seq=38 ttl=64 time=1.08 ms
64 bytes from 10.1.1.35: icmp_seq=39 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=40 ttl=64 time=1.27 ms
64 bytes from 10.1.1.35: icmp_seq=41 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=42 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=43 ttl=64 time=1.24 ms
64 bytes from 10.1.1.35: icmp_seq=44 ttl=64 time=1.26 ms
64 bytes from 10.1.1.35: icmp_seq=45 ttl=64 time=1.10 ms
64 bytes from 10.1.1.35: icmp_seq=46 ttl=64 time=1.36 ms
64 bytes from 10.1.1.35: icmp_seq=47 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=48 ttl=64 time=1.18 ms
64 bytes from 10.1.1.35: icmp_seq=49 ttl=64 time=1.24 ms
64 bytes from 10.1.1.35: icmp_seq=50 ttl=64 time=1.30 ms
64 bytes from 10.1.1.35: icmp_seq=51 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=52 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=53 ttl=64 time=1.26 ms
64 bytes from 10.1.1.35: icmp_seq=54 ttl=64 time=1.20 ms
64 bytes from 10.1.1.35: icmp_seq=55 ttl=64 time=1.24 ms
64 bytes from 10.1.1.35: icmp_seq=56 ttl=64 time=1.28 ms
64 bytes from 10.1.1.35: icmp_seq=57 ttl=64 time=1.26 ms
64 bytes from 10.1.1.35: icmp_seq=58 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=59 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=60 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=61 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=62 ttl=64 time=1.26 ms
64 bytes from 10.1.1.35: icmp_seq=63 ttl=64 time=1.23 ms
64 bytes from 10.1.1.35: icmp_seq=64 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=65 ttl=64 time=1.09 ms
64 bytes from 10.1.1.35: icmp_seq=66 ttl=64 time=1.24 ms
64 bytes from 10.1.1.35: icmp_seq=67 ttl=64 time=1.11 ms
64 bytes from 10.1.1.35: icmp_seq=68 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=69 ttl=64 time=1.08 ms
64 bytes from 10.1.1.35: icmp_seq=70 ttl=64 time=1.22 ms
64 bytes from 10.1.1.35: icmp_seq=71 ttl=64 time=1.08 ms
64 bytes from 10.1.1.35: icmp_seq=72 ttl=64 time=1.23 ms
64 bytes from 10.1.1.35: icmp_seq=73 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=74 ttl=64 time=1.22 ms
64 bytes from 10.1.1.35: icmp_seq=75 ttl=64 time=1.33 ms
64 bytes from 10.1.1.35: icmp_seq=76 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=77 ttl=64 time=1.25 ms
64 bytes from 10.1.1.35: icmp_seq=78 ttl=64 time=1.34 ms
64 bytes from 10.1.1.35: icmp_seq=79 ttl=64 time=1.23 ms
64 bytes from 10.1.1.35: icmp_seq=80 ttl=64 time=1.08 ms
64 bytes from 10.1.1.35: icmp_seq=81 ttl=64 time=1.11 ms
64 bytes from 10.1.1.35: icmp_seq=82 ttl=64 time=1.08 ms
64 bytes from 10.1.1.35: icmp_seq=83 ttl=64 time=1.30 ms
64 bytes from 10.1.1.35: icmp_seq=84 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=85 ttl=64 time=1.09 ms
64 bytes from 10.1.1.35: icmp_seq=86 ttl=64 time=1.25 ms
64 bytes from 10.1.1.35: icmp_seq=87 ttl=64 time=1.06 ms
64 bytes from 10.1.1.35: icmp_seq=88 ttl=64 time=1.09 ms
64 bytes from 10.1.1.35: icmp_seq=89 ttl=64 time=1.27 ms
64 bytes from 10.1.1.35: icmp_seq=90 ttl=64 time=1.08 ms
64 bytes from 10.1.1.35: icmp_seq=91 ttl=64 time=1.10 ms
64 bytes from 10.1.1.35: icmp_seq=92 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=93 ttl=64 time=1.26 ms
64 bytes from 10.1.1.35: icmp_seq=94 ttl=64 time=1.23 ms
64 bytes from 10.1.1.35: icmp_seq=95 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=96 ttl=64 time=1.26 ms
64 bytes from 10.1.1.35: icmp_seq=97 ttl=64 time=1.07 ms
64 bytes from 10.1.1.35: icmp_seq=98 ttl=64 time=1.13 ms
64 bytes from 10.1.1.35: icmp_seq=99 ttl=64 time=1.08 ms
64 bytes from 10.1.1.35: icmp_seq=100 ttl=64 time=1.05 ms

--- 10.1.1.35 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99120ms
rtt min/avg/max/mdev = 1.053/1.162/1.425/0.104 ms
PING 10.1.2.142 (10.1.2.142) 56(84) bytes of data.
64 bytes from 10.1.2.142: icmp_seq=1 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=2 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=3 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=4 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=5 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=6 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=7 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=8 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=9 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=10 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=11 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=12 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=13 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=14 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=15 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=16 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=17 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=18 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=19 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=20 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=21 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=22 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=23 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=24 ttl=64 time=0.013 ms
64 bytes from 10.1.2.142: icmp_seq=25 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=26 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=27 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=28 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=29 ttl=64 time=0.014 ms
64 bytes from 10.1.2.142: icmp_seq=30 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=31 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=32 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=33 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=34 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=35 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=36 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=37 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=38 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=39 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=40 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=41 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=42 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=43 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=44 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=45 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=46 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=47 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=48 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=49 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=50 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=51 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=52 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=53 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=54 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=55 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=56 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=57 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=58 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=59 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=60 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=61 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=62 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=63 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=64 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=65 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=66 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=67 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=68 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=69 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=70 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=71 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=72 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=73 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=74 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=75 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=76 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=77 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=78 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=79 ttl=64 time=0.020 ms
64 bytes from 10.1.2.142: icmp_seq=80 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=81 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=82 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=83 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=84 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=85 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=86 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=87 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=88 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=89 ttl=64 time=0.010 ms
64 bytes from 10.1.2.142: icmp_seq=90 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=91 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=92 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=93 ttl=64 time=0.008 ms
64 bytes from 10.1.2.142: icmp_seq=94 ttl=64 time=0.011 ms
64 bytes from 10.1.2.142: icmp_seq=95 ttl=64 time=0.009 ms
64 bytes from 10.1.2.142: icmp_seq=96 ttl=64 time=0.009 ms
