PING 10.1.0.80 (10.1.0.80) 56(84) bytes of data.
64 bytes from 10.1.0.80: icmp_seq=1 ttl=64 time=0.922 ms
64 bytes from 10.1.0.80: icmp_seq=2 ttl=64 time=0.998 ms
64 bytes from 10.1.0.80: icmp_seq=3 ttl=64 time=0.975 ms
64 bytes from 10.1.0.80: icmp_seq=4 ttl=64 time=1.03 ms
64 bytes from 10.1.0.80: icmp_seq=5 ttl=64 time=0.938 ms
64 bytes from 10.1.0.80: icmp_seq=6 ttl=64 time=1.01 ms
64 bytes from 10.1.0.80: icmp_seq=7 ttl=64 time=0.845 ms
64 bytes from 10.1.0.80: icmp_seq=8 ttl=64 time=0.939 ms
64 bytes from 10.1.0.80: icmp_seq=9 ttl=64 time=0.883 ms
64 bytes from 10.1.0.80: icmp_seq=10 ttl=64 time=0.968 ms
64 bytes from 10.1.0.80: icmp_seq=11 ttl=64 time=0.917 ms
64 bytes from 10.1.0.80: icmp_seq=12 ttl=64 time=0.928 ms
64 bytes from 10.1.0.80: icmp_seq=13 ttl=64 time=0.900 ms
64 bytes from 10.1.0.80: icmp_seq=14 ttl=64 time=1.07 ms
64 bytes from 10.1.0.80: icmp_seq=15 ttl=64 time=0.963 ms
64 bytes from 10.1.0.80: icmp_seq=16 ttl=64 time=0.927 ms
64 bytes from 10.1.0.80: icmp_seq=17 ttl=64 time=0.880 ms
64 bytes from 10.1.0.80: icmp_seq=18 ttl=64 time=0.918 ms
64 bytes from 10.1.0.80: icmp_seq=19 ttl=64 time=0.947 ms
64 bytes from 10.1.0.80: icmp_seq=20 ttl=64 time=0.919 ms
64 bytes from 10.1.0.80: icmp_seq=21 ttl=64 time=0.911 ms
64 bytes from 10.1.0.80: icmp_seq=22 ttl=64 time=0.885 ms
64 bytes from 10.1.0.80: icmp_seq=23 ttl=64 time=0.969 ms
64 bytes from 10.1.0.80: icmp_seq=24 ttl=64 time=0.964 ms
64 bytes from 10.1.0.80: icmp_seq=25 ttl=64 time=0.941 ms
64 bytes from 10.1.0.80: icmp_seq=26 ttl=64 time=0.935 ms
64 bytes from 10.1.0.80: icmp_seq=27 ttl=64 time=0.968 ms
64 bytes from 10.1.0.80: icmp_seq=28 ttl=64 time=0.922 ms
64 bytes from 10.1.0.80: icmp_seq=29 ttl=64 time=1.01 ms
64 bytes from 10.1.0.80: icmp_seq=30 ttl=64 time=0.907 ms
64 bytes from 10.1.0.80: icmp_seq=31 ttl=64 time=0.932 ms
64 bytes from 10.1.0.80: icmp_seq=32 ttl=64 time=1.06 ms
64 bytes from 10.1.0.80: icmp_seq=33 ttl=64 time=0.899 ms
64 bytes from 10.1.0.80: icmp_seq=34 ttl=64 time=0.963 ms
64 bytes from 10.1.0.80: icmp_seq=35 ttl=64 time=0.929 ms
64 bytes from 10.1.0.80: icmp_seq=36 ttl=64 time=0.947 ms
64 bytes from 10.1.0.80: icmp_seq=37 ttl=64 time=0.936 ms
64 bytes from 10.1.0.80: icmp_seq=38 ttl=64 time=1.06 ms
64 bytes from 10.1.0.80: icmp_seq=39 ttl=64 time=0.935 ms
64 bytes from 10.1.0.80: icmp_seq=40 ttl=64 time=0.910 ms
64 bytes from 10.1.0.80: icmp_seq=41 ttl=64 time=1.08 ms
64 bytes from 10.1.0.80: icmp_seq=42 ttl=64 time=0.928 ms
64 bytes from 10.1.0.80: icmp_seq=43 ttl=64 time=0.923 ms
64 bytes from 10.1.0.80: icmp_seq=44 ttl=64 time=0.938 ms
64 bytes from 10.1.0.80: icmp_seq=45 ttl=64 time=0.953 ms
64 bytes from 10.1.0.80: icmp_seq=46 ttl=64 time=0.909 ms
64 bytes from 10.1.0.80: icmp_seq=47 ttl=64 time=0.898 ms
64 bytes from 10.1.0.80: icmp_seq=48 ttl=64 time=0.939 ms
64 bytes from 10.1.0.80: icmp_seq=49 ttl=64 time=0.928 ms
64 bytes from 10.1.0.80: icmp_seq=50 ttl=64 time=0.945 ms

--- 10.1.0.80 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49136ms
rtt min/avg/max/mdev = 0.845/0.946/1.088/0.064 ms
PING 10.1.1.119 (10.1.1.119) 56(84) bytes of data.
64 bytes from 10.1.1.119: icmp_seq=1 ttl=64 time=0.015 ms
64 bytes from 10.1.1.119: icmp_seq=2 ttl=64 time=0.025 ms
64 bytes from 10.1.1.119: icmp_seq=3 ttl=64 time=0.023 ms
64 bytes from 10.1.1.119: icmp_seq=4 ttl=64 time=0.022 ms
64 bytes from 10.1.1.119: icmp_seq=5 ttl=64 time=0.028 ms
64 bytes from 10.1.1.119: icmp_seq=6 ttl=64 time=0.028 ms
64 bytes from 10.1.1.119: icmp_seq=7 ttl=64 time=0.025 ms
64 bytes from 10.1.1.119: icmp_seq=8 ttl=64 time=0.044 ms
64 bytes from 10.1.1.119: icmp_seq=9 ttl=64 time=0.043 ms
64 bytes from 10.1.1.119: icmp_seq=10 ttl=64 time=0.038 ms
64 bytes from 10.1.1.119: icmp_seq=11 ttl=64 time=0.028 ms
64 bytes from 10.1.1.119: icmp_seq=12 ttl=64 time=0.031 ms
64 bytes from 10.1.1.119: icmp_seq=13 ttl=64 time=0.030 ms
64 bytes from 10.1.1.119: icmp_seq=14 ttl=64 time=0.029 ms
64 bytes from 10.1.1.119: icmp_seq=15 ttl=64 time=0.028 ms
64 bytes from 10.1.1.119: icmp_seq=16 ttl=64 time=0.031 ms
