# From 52.57.246.169 in eu-central-1c
PING 10.1.0.80 (10.1.0.80) 56(84) bytes of data.
64 bytes from 10.1.0.80: icmp_seq=1 ttl=64 time=0.935 ms
64 bytes from 10.1.0.80: icmp_seq=2 ttl=64 time=0.978 ms
64 bytes from 10.1.0.80: icmp_seq=3 ttl=64 time=0.961 ms
64 bytes from 10.1.0.80: icmp_seq=4 ttl=64 time=0.922 ms
64 bytes from 10.1.0.80: icmp_seq=5 ttl=64 time=0.935 ms
64 bytes from 10.1.0.80: icmp_seq=6 ttl=64 time=0.950 ms
64 bytes from 10.1.0.80: icmp_seq=7 ttl=64 time=0.957 ms
64 bytes from 10.1.0.80: icmp_seq=8 ttl=64 time=0.984 ms
64 bytes from 10.1.0.80: icmp_seq=9 ttl=64 time=0.965 ms
64 bytes from 10.1.0.80: icmp_seq=10 ttl=64 time=0.962 ms
64 bytes from 10.1.0.80: icmp_seq=11 ttl=64 time=1.03 ms
64 bytes from 10.1.0.80: icmp_seq=12 ttl=64 time=1.00 ms
64 bytes from 10.1.0.80: icmp_seq=13 ttl=64 time=1.10 ms
64 bytes from 10.1.0.80: icmp_seq=14 ttl=64 time=0.971 ms
64 bytes from 10.1.0.80: icmp_seq=15 ttl=64 time=0.914 ms
64 bytes from 10.1.0.80: icmp_seq=16 ttl=64 time=0.994 ms
64 bytes from 10.1.0.80: icmp_seq=17 ttl=64 time=0.977 ms
64 bytes from 10.1.0.80: icmp_seq=18 ttl=64 time=1.02 ms
64 bytes from 10.1.0.80: icmp_seq=19 ttl=64 time=1.01 ms
64 bytes from 10.1.0.80: icmp_seq=20 ttl=64 time=0.989 ms
64 bytes from 10.1.0.80: icmp_seq=21 ttl=64 time=0.932 ms
64 bytes from 10.1.0.80: icmp_seq=22 ttl=64 time=0.937 ms
64 bytes from 10.1.0.80: icmp_seq=23 ttl=64 time=0.927 ms
64 bytes from 10.1.0.80: icmp_seq=24 ttl=64 time=0.993 ms
64 bytes from 10.1.0.80: icmp_seq=25 ttl=64 time=0.935 ms
64 bytes from 10.1.0.80: icmp_seq=26 ttl=64 time=1.02 ms
64 bytes from 10.1.0.80: icmp_seq=27 ttl=64 time=1.05 ms
64 bytes from 10.1.0.80: icmp_seq=28 ttl=64 time=0.986 ms
64 bytes from 10.1.0.80: icmp_seq=29 ttl=64 time=1.00 ms
64 bytes from 10.1.0.80: icmp_seq=30 ttl=64 time=0.973 ms
64 bytes from 10.1.0.80: icmp_seq=31 ttl=64 time=1.01 ms
64 bytes from 10.1.0.80: icmp_seq=32 ttl=64 time=0.966 ms
64 bytes from 10.1.0.80: icmp_seq=33 ttl=64 time=0.971 ms
64 bytes from 10.1.0.80: icmp_seq=34 ttl=64 time=1.00 ms
64 bytes from 10.1.0.80: icmp_seq=35 ttl=64 time=1.02 ms
64 bytes from 10.1.0.80: icmp_seq=36 ttl=64 time=0.998 ms
64 bytes from 10.1.0.80: icmp_seq=37 ttl=64 time=1.00 ms
64 bytes from 10.1.0.80: icmp_seq=38 ttl=64 time=0.948 ms
64 bytes from 10.1.0.80: icmp_seq=39 ttl=64 time=0.907 ms
64 bytes from 10.1.0.80: icmp_seq=40 ttl=64 time=1.04 ms
64 bytes from 10.1.0.80: icmp_seq=41 ttl=64 time=1.34 ms
64 bytes from 10.1.0.80: icmp_seq=42 ttl=64 time=1.00 ms
64 bytes from 10.1.0.80: icmp_seq=43 ttl=64 time=0.979 ms
64 bytes from 10.1.0.80: icmp_seq=44 ttl=64 time=0.923 ms
64 bytes from 10.1.0.80: icmp_seq=45 ttl=64 time=0.898 ms
64 bytes from 10.1.0.80: icmp_seq=46 ttl=64 time=0.984 ms
64 bytes from 10.1.0.80: icmp_seq=47 ttl=64 time=0.992 ms
64 bytes from 10.1.0.80: icmp_seq=48 ttl=64 time=0.957 ms
64 bytes from 10.1.0.80: icmp_seq=49 ttl=64 time=1.02 ms
64 bytes from 10.1.0.80: icmp_seq=50 ttl=64 time=1.04 ms
64 bytes from 10.1.0.80: icmp_seq=51 ttl=64 time=1.05 ms
64 bytes from 10.1.0.80: icmp_seq=52 ttl=64 time=1.02 ms
64 bytes from 10.1.0.80: icmp_seq=53 ttl=64 time=0.992 ms
64 bytes from 10.1.0.80: icmp_seq=54 ttl=64 time=0.940 ms
64 bytes from 10.1.0.80: icmp_seq=55 ttl=64 time=1.04 ms
64 bytes from 10.1.0.80: icmp_seq=56 ttl=64 time=0.995 ms
64 bytes from 10.1.0.80: icmp_seq=57 ttl=64 time=0.986 ms
64 bytes from 10.1.0.80: icmp_seq=58 ttl=64 time=0.924 ms
