PING 10.1.0.122 (10.1.0.122) 56(84) bytes of data.
64 bytes from 10.1.0.122: icmp_seq=1 ttl=64 time=0.939 ms
64 bytes from 10.1.0.122: icmp_seq=2 ttl=64 time=0.902 ms
64 bytes from 10.1.0.122: icmp_seq=3 ttl=64 time=0.953 ms
64 bytes from 10.1.0.122: icmp_seq=4 ttl=64 time=0.991 ms
64 bytes from 10.1.0.122: icmp_seq=5 ttl=64 time=0.933 ms
64 bytes from 10.1.0.122: icmp_seq=6 ttl=64 time=0.972 ms
64 bytes from 10.1.0.122: icmp_seq=7 ttl=64 time=0.941 ms
64 bytes from 10.1.0.122: icmp_seq=8 ttl=64 time=0.925 ms
64 bytes from 10.1.0.122: icmp_seq=9 ttl=64 time=0.939 ms
64 bytes from 10.1.0.122: icmp_seq=10 ttl=64 time=1.08 ms
64 bytes from 10.1.0.122: icmp_seq=11 ttl=64 time=0.936 ms
64 bytes from 10.1.0.122: icmp_seq=12 ttl=64 time=0.932 ms
64 bytes from 10.1.0.122: icmp_seq=13 ttl=64 time=0.938 ms
64 bytes from 10.1.0.122: icmp_seq=14 ttl=64 time=0.972 ms
64 bytes from 10.1.0.122: icmp_seq=15 ttl=64 time=0.934 ms
64 bytes from 10.1.0.122: icmp_seq=16 ttl=64 time=0.875 ms
64 bytes from 10.1.0.122: icmp_seq=17 ttl=64 time=0.971 ms
64 bytes from 10.1.0.122: icmp_seq=18 ttl=64 time=0.903 ms
64 bytes from 10.1.0.122: icmp_seq=19 ttl=64 time=1.01 ms
64 bytes from 10.1.0.122: icmp_seq=20 ttl=64 time=0.893 ms
64 bytes from 10.1.0.122: icmp_seq=21 ttl=64 time=0.939 ms
64 bytes from 10.1.0.122: icmp_seq=22 ttl=64 time=0.894 ms
64 bytes from 10.1.0.122: icmp_seq=23 ttl=64 time=0.948 ms
64 bytes from 10.1.0.122: icmp_seq=24 ttl=64 time=1.00 ms
64 bytes from 10.1.0.122: icmp_seq=25 ttl=64 time=0.948 ms
64 bytes from 10.1.0.122: icmp_seq=26 ttl=64 time=0.943 ms
64 bytes from 10.1.0.122: icmp_seq=27 ttl=64 time=0.975 ms
64 bytes from 10.1.0.122: icmp_seq=28 ttl=64 time=0.938 ms
64 bytes from 10.1.0.122: icmp_seq=29 ttl=64 time=0.935 ms
64 bytes from 10.1.0.122: icmp_seq=30 ttl=64 time=0.910 ms
64 bytes from 10.1.0.122: icmp_seq=31 ttl=64 time=0.957 ms
64 bytes from 10.1.0.122: icmp_seq=32 ttl=64 time=0.986 ms
64 bytes from 10.1.0.122: icmp_seq=33 ttl=64 time=0.983 ms
64 bytes from 10.1.0.122: icmp_seq=34 ttl=64 time=0.938 ms
64 bytes from 10.1.0.122: icmp_seq=35 ttl=64 time=0.921 ms
64 bytes from 10.1.0.122: icmp_seq=36 ttl=64 time=0.929 ms
64 bytes from 10.1.0.122: icmp_seq=37 ttl=64 time=0.950 ms
64 bytes from 10.1.0.122: icmp_seq=38 ttl=64 time=0.901 ms
64 bytes from 10.1.0.122: icmp_seq=39 ttl=64 time=0.982 ms
64 bytes from 10.1.0.122: icmp_seq=40 ttl=64 time=1.03 ms
64 bytes from 10.1.0.122: icmp_seq=41 ttl=64 time=0.954 ms
64 bytes from 10.1.0.122: icmp_seq=42 ttl=64 time=0.953 ms
64 bytes from 10.1.0.122: icmp_seq=43 ttl=64 time=0.988 ms
64 bytes from 10.1.0.122: icmp_seq=44 ttl=64 time=0.955 ms
64 bytes from 10.1.0.122: icmp_seq=45 ttl=64 time=0.922 ms
64 bytes from 10.1.0.122: icmp_seq=46 ttl=64 time=0.891 ms
64 bytes from 10.1.0.122: icmp_seq=47 ttl=64 time=0.923 ms
64 bytes from 10.1.0.122: icmp_seq=48 ttl=64 time=2.65 ms
64 bytes from 10.1.0.122: icmp_seq=49 ttl=64 time=0.947 ms
64 bytes from 10.1.0.122: icmp_seq=50 ttl=64 time=0.909 ms

--- 10.1.0.122 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49120ms
rtt min/avg/max/mdev = 0.875/0.981/2.655/0.242 ms
PING 10.1.1.96 (10.1.1.96) 56(84) bytes of data.
64 bytes from 10.1.1.96: icmp_seq=1 ttl=64 time=0.015 ms
64 bytes from 10.1.1.96: icmp_seq=2 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=3 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=4 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=5 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=6 ttl=64 time=0.032 ms
64 bytes from 10.1.1.96: icmp_seq=7 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=8 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=9 ttl=64 time=0.044 ms
64 bytes from 10.1.1.96: icmp_seq=10 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=11 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=12 ttl=64 time=0.040 ms
64 bytes from 10.1.1.96: icmp_seq=13 ttl=64 time=0.040 ms
64 bytes from 10.1.1.96: icmp_seq=14 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=15 ttl=64 time=0.027 ms
64 bytes from 10.1.1.96: icmp_seq=16 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=17 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=18 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=19 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=20 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=21 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=22 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=23 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=24 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=25 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=26 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=27 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=28 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=29 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=30 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=31 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=32 ttl=64 time=0.023 ms
64 bytes from 10.1.1.96: icmp_seq=33 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=34 ttl=64 time=0.025 ms
64 bytes from 10.1.1.96: icmp_seq=35 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=36 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=37 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=38 ttl=64 time=0.021 ms
64 bytes from 10.1.1.96: icmp_seq=39 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=40 ttl=64 time=0.030 ms
64 bytes from 10.1.1.96: icmp_seq=41 ttl=64 time=0.031 ms
64 bytes from 10.1.1.96: icmp_seq=42 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=43 ttl=64 time=0.029 ms
64 bytes from 10.1.1.96: icmp_seq=44 ttl=64 time=0.028 ms
64 bytes from 10.1.1.96: icmp_seq=45 ttl=64 time=0.028 ms
64 bytes from 10.1.1.96: icmp_seq=46 ttl=64 time=0.022 ms
64 bytes from 10.1.1.96: icmp_seq=47 ttl=64 time=0.040 ms
64 bytes from 10.1.1.96: icmp_seq=48 ttl=64 time=0.028 ms
64 bytes from 10.1.1.96: icmp_seq=49 ttl=64 time=0.028 ms
64 bytes from 10.1.1.96: icmp_seq=50 ttl=64 time=0.031 ms

--- 10.1.1.96 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50160ms
rtt min/avg/max/mdev = 0.015/0.029/0.044/0.008 ms
PING 10.1.2.49 (10.1.2.49) 56(84) bytes of data.
64 bytes from 10.1.2.49: icmp_seq=1 ttl=64 time=1.00 ms
64 bytes from 10.1.2.49: icmp_seq=2 ttl=64 time=1.00 ms
64 bytes from 10.1.2.49: icmp_seq=3 ttl=64 time=0.938 ms
64 bytes from 10.1.2.49: icmp_seq=4 ttl=64 time=1.02 ms
64 bytes from 10.1.2.49: icmp_seq=5 ttl=64 time=1.09 ms
64 bytes from 10.1.2.49: icmp_seq=6 ttl=64 time=0.963 ms
64 bytes from 10.1.2.49: icmp_seq=7 ttl=64 time=0.947 ms
64 bytes from 10.1.2.49: icmp_seq=8 ttl=64 time=0.953 ms
64 bytes from 10.1.2.49: icmp_seq=9 ttl=64 time=0.986 ms
64 bytes from 10.1.2.49: icmp_seq=10 ttl=64 time=0.960 ms
64 bytes from 10.1.2.49: icmp_seq=11 ttl=64 time=0.966 ms
64 bytes from 10.1.2.49: icmp_seq=12 ttl=64 time=1.00 ms
64 bytes from 10.1.2.49: icmp_seq=13 ttl=64 time=0.946 ms
64 bytes from 10.1.2.49: icmp_seq=14 ttl=64 time=1.01 ms
64 bytes from 10.1.2.49: icmp_seq=15 ttl=64 time=1.12 ms
64 bytes from 10.1.2.49: icmp_seq=16 ttl=64 time=1.02 ms
64 bytes from 10.1.2.49: icmp_seq=17 ttl=64 time=0.953 ms
64 bytes from 10.1.2.49: icmp_seq=18 ttl=64 time=0.963 ms
64 bytes from 10.1.2.49: icmp_seq=19 ttl=64 time=0.961 ms
64 bytes from 10.1.2.49: icmp_seq=20 ttl=64 time=1.00 ms
64 bytes from 10.1.2.49: icmp_seq=21 ttl=64 time=0.991 ms
64 bytes from 10.1.2.49: icmp_seq=22 ttl=64 time=0.958 ms
64 bytes from 10.1.2.49: icmp_seq=23 ttl=64 time=0.928 ms
64 bytes from 10.1.2.49: icmp_seq=24 ttl=64 time=1.00 ms
64 bytes from 10.1.2.49: icmp_seq=25 ttl=64 time=0.955 ms
64 bytes from 10.1.2.49: icmp_seq=26 ttl=64 time=1.01 ms
64 bytes from 10.1.2.49: icmp_seq=27 ttl=64 time=1.02 ms
64 bytes from 10.1.2.49: icmp_seq=28 ttl=64 time=1.04 ms
64 bytes from 10.1.2.49: icmp_seq=29 ttl=64 time=0.955 ms
64 bytes from 10.1.2.49: icmp_seq=30 ttl=64 time=1.01 ms
64 bytes from 10.1.2.49: icmp_seq=31 ttl=64 time=0.889 ms
64 bytes from 10.1.2.49: icmp_seq=32 ttl=64 time=0.968 ms
64 bytes from 10.1.2.49: icmp_seq=33 ttl=64 time=0.964 ms
64 bytes from 10.1.2.49: icmp_seq=34 ttl=64 time=0.923 ms
64 bytes from 10.1.2.49: icmp_seq=35 ttl=64 time=1.07 ms
64 bytes from 10.1.2.49: icmp_seq=36 ttl=64 time=0.994 ms
64 bytes from 10.1.2.49: icmp_seq=37 ttl=64 time=0.985 ms
64 bytes from 10.1.2.49: icmp_seq=38 ttl=64 time=0.967 ms
64 bytes from 10.1.2.49: icmp_seq=39 ttl=64 time=1.04 ms
64 bytes from 10.1.2.49: icmp_seq=40 ttl=64 time=1.05 ms
64 bytes from 10.1.2.49: icmp_seq=41 ttl=64 time=1.02 ms
64 bytes from 10.1.2.49: icmp_seq=42 ttl=64 time=1.00 ms
