PING 10.1.0.237 (10.1.0.237) 56(84) bytes of data.
64 bytes from 10.1.0.237: icmp_seq=1 ttl=64 time=2.75 ms
64 bytes from 10.1.0.237: icmp_seq=2 ttl=64 time=2.81 ms
64 bytes from 10.1.0.237: icmp_seq=3 ttl=64 time=2.92 ms
64 bytes from 10.1.0.237: icmp_seq=4 ttl=64 time=2.83 ms
64 bytes from 10.1.0.237: icmp_seq=5 ttl=64 time=2.83 ms
64 bytes from 10.1.0.237: icmp_seq=6 ttl=64 time=2.87 ms
64 bytes from 10.1.0.237: icmp_seq=7 ttl=64 time=2.86 ms
64 bytes from 10.1.0.237: icmp_seq=8 ttl=64 time=2.80 ms
64 bytes from 10.1.0.237: icmp_seq=9 ttl=64 time=2.80 ms
64 bytes from 10.1.0.237: icmp_seq=10 ttl=64 time=2.86 ms
64 bytes from 10.1.0.237: icmp_seq=11 ttl=64 time=2.81 ms
64 bytes from 10.1.0.237: icmp_seq=12 ttl=64 time=2.86 ms
64 bytes from 10.1.0.237: icmp_seq=13 ttl=64 time=2.78 ms
64 bytes from 10.1.0.237: icmp_seq=14 ttl=64 time=2.78 ms
64 bytes from 10.1.0.237: icmp_seq=15 ttl=64 time=2.82 ms
64 bytes from 10.1.0.237: icmp_seq=16 ttl=64 time=2.90 ms
64 bytes from 10.1.0.237: icmp_seq=17 ttl=64 time=2.81 ms
64 bytes from 10.1.0.237: icmp_seq=18 ttl=64 time=2.88 ms
64 bytes from 10.1.0.237: icmp_seq=19 ttl=64 time=2.79 ms
64 bytes from 10.1.0.237: icmp_seq=20 ttl=64 time=2.90 ms
64 bytes from 10.1.0.237: icmp_seq=21 ttl=64 time=2.81 ms
64 bytes from 10.1.0.237: icmp_seq=22 ttl=64 time=2.85 ms
64 bytes from 10.1.0.237: icmp_seq=23 ttl=64 time=3.00 ms
64 bytes from 10.1.0.237: icmp_seq=24 ttl=64 time=2.77 ms
64 bytes from 10.1.0.237: icmp_seq=25 ttl=64 time=2.83 ms
64 bytes from 10.1.0.237: icmp_seq=26 ttl=64 time=2.78 ms
64 bytes from 10.1.0.237: icmp_seq=27 ttl=64 time=2.79 ms
64 bytes from 10.1.0.237: icmp_seq=28 ttl=64 time=2.80 ms
64 bytes from 10.1.0.237: icmp_seq=29 ttl=64 time=2.73 ms
64 bytes from 10.1.0.237: icmp_seq=30 ttl=64 time=2.85 ms
64 bytes from 10.1.0.237: icmp_seq=31 ttl=64 time=2.81 ms
64 bytes from 10.1.0.237: icmp_seq=32 ttl=64 time=2.73 ms
64 bytes from 10.1.0.237: icmp_seq=33 ttl=64 time=2.79 ms
64 bytes from 10.1.0.237: icmp_seq=34 ttl=64 time=2.80 ms
64 bytes from 10.1.0.237: icmp_seq=35 ttl=64 time=2.78 ms
64 bytes from 10.1.0.237: icmp_seq=36 ttl=64 time=2.78 ms
64 bytes from 10.1.0.237: icmp_seq=37 ttl=64 time=2.73 ms
64 bytes from 10.1.0.237: icmp_seq=38 ttl=64 time=2.84 ms
64 bytes from 10.1.0.237: icmp_seq=39 ttl=64 time=2.77 ms
64 bytes from 10.1.0.237: icmp_seq=40 ttl=64 time=2.79 ms
64 bytes from 10.1.0.237: icmp_seq=41 ttl=64 time=2.72 ms
64 bytes from 10.1.0.237: icmp_seq=42 ttl=64 time=2.78 ms
64 bytes from 10.1.0.237: icmp_seq=43 ttl=64 time=2.77 ms
64 bytes from 10.1.0.237: icmp_seq=44 ttl=64 time=2.81 ms
64 bytes from 10.1.0.237: icmp_seq=45 ttl=64 time=2.88 ms
64 bytes from 10.1.0.237: icmp_seq=46 ttl=64 time=2.78 ms
64 bytes from 10.1.0.237: icmp_seq=47 ttl=64 time=2.81 ms
64 bytes from 10.1.0.237: icmp_seq=48 ttl=64 time=2.80 ms
64 bytes from 10.1.0.237: icmp_seq=49 ttl=64 time=2.90 ms
64 bytes from 10.1.0.237: icmp_seq=50 ttl=64 time=2.84 ms

--- 10.1.0.237 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49095ms
rtt min/avg/max/mdev = 2.722/2.819/3.000/0.072 ms
PING 10.1.1.21 (10.1.1.21) 56(84) bytes of data.
64 bytes from 10.1.1.21: icmp_seq=1 ttl=64 time=0.012 ms
64 bytes from 10.1.1.21: icmp_seq=2 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=3 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=4 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=5 ttl=64 time=0.028 ms
64 bytes from 10.1.1.21: icmp_seq=6 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=7 ttl=64 time=0.028 ms
64 bytes from 10.1.1.21: icmp_seq=8 ttl=64 time=0.028 ms
64 bytes from 10.1.1.21: icmp_seq=9 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=10 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=11 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=12 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=13 ttl=64 time=0.025 ms
64 bytes from 10.1.1.21: icmp_seq=14 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=15 ttl=64 time=0.042 ms
64 bytes from 10.1.1.21: icmp_seq=16 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=17 ttl=64 time=0.025 ms
64 bytes from 10.1.1.21: icmp_seq=18 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=19 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=20 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=21 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=22 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=23 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=24 ttl=64 time=0.024 ms
64 bytes from 10.1.1.21: icmp_seq=25 ttl=64 time=0.024 ms
64 bytes from 10.1.1.21: icmp_seq=26 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=27 ttl=64 time=0.028 ms
64 bytes from 10.1.1.21: icmp_seq=28 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=29 ttl=64 time=0.025 ms
64 bytes from 10.1.1.21: icmp_seq=30 ttl=64 time=0.029 ms
64 bytes from 10.1.1.21: icmp_seq=31 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=32 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=33 ttl=64 time=0.031 ms
64 bytes from 10.1.1.21: icmp_seq=34 ttl=64 time=0.029 ms
64 bytes from 10.1.1.21: icmp_seq=35 ttl=64 time=0.033 ms
64 bytes from 10.1.1.21: icmp_seq=36 ttl=64 time=0.025 ms
64 bytes from 10.1.1.21: icmp_seq=37 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=38 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=39 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=40 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=41 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=42 ttl=64 time=0.031 ms
64 bytes from 10.1.1.21: icmp_seq=43 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=44 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=45 ttl=64 time=0.025 ms
64 bytes from 10.1.1.21: icmp_seq=46 ttl=64 time=0.027 ms
64 bytes from 10.1.1.21: icmp_seq=47 ttl=64 time=0.029 ms
64 bytes from 10.1.1.21: icmp_seq=48 ttl=64 time=0.025 ms
64 bytes from 10.1.1.21: icmp_seq=49 ttl=64 time=0.026 ms
64 bytes from 10.1.1.21: icmp_seq=50 ttl=64 time=0.042 ms

--- 10.1.1.21 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50164ms
rtt min/avg/max/mdev = 0.012/0.027/0.042/0.005 ms
PING 10.1.2.223 (10.1.2.223) 56(84) bytes of data.
64 bytes from 10.1.2.223: icmp_seq=1 ttl=64 time=3.60 ms
64 bytes from 10.1.2.223: icmp_seq=2 ttl=64 time=3.55 ms
64 bytes from 10.1.2.223: icmp_seq=3 ttl=64 time=3.53 ms
64 bytes from 10.1.2.223: icmp_seq=4 ttl=64 time=3.51 ms
64 bytes from 10.1.2.223: icmp_seq=5 ttl=64 time=3.50 ms
64 bytes from 10.1.2.223: icmp_seq=6 ttl=64 time=3.40 ms
64 bytes from 10.1.2.223: icmp_seq=7 ttl=64 time=3.56 ms
64 bytes from 10.1.2.223: icmp_seq=8 ttl=64 time=3.47 ms
64 bytes from 10.1.2.223: icmp_seq=9 ttl=64 time=3.50 ms
64 bytes from 10.1.2.223: icmp_seq=10 ttl=64 time=3.49 ms
64 bytes from 10.1.2.223: icmp_seq=11 ttl=64 time=3.55 ms
64 bytes from 10.1.2.223: icmp_seq=12 ttl=64 time=3.37 ms
64 bytes from 10.1.2.223: icmp_seq=13 ttl=64 time=3.42 ms
64 bytes from 10.1.2.223: icmp_seq=14 ttl=64 time=3.42 ms
64 bytes from 10.1.2.223: icmp_seq=15 ttl=64 time=3.49 ms
64 bytes from 10.1.2.223: icmp_seq=16 ttl=64 time=3.53 ms
64 bytes from 10.1.2.223: icmp_seq=17 ttl=64 time=3.48 ms
64 bytes from 10.1.2.223: icmp_seq=18 ttl=64 time=3.38 ms
64 bytes from 10.1.2.223: icmp_seq=19 ttl=64 time=3.57 ms
64 bytes from 10.1.2.223: icmp_seq=20 ttl=64 time=3.49 ms
64 bytes from 10.1.2.223: icmp_seq=21 ttl=64 time=3.49 ms
64 bytes from 10.1.2.223: icmp_seq=22 ttl=64 time=3.49 ms
64 bytes from 10.1.2.223: icmp_seq=23 ttl=64 time=3.48 ms
64 bytes from 10.1.2.223: icmp_seq=24 ttl=64 time=3.44 ms
64 bytes from 10.1.2.223: icmp_seq=25 ttl=64 time=3.51 ms
64 bytes from 10.1.2.223: icmp_seq=26 ttl=64 time=3.51 ms
64 bytes from 10.1.2.223: icmp_seq=27 ttl=64 time=3.57 ms
64 bytes from 10.1.2.223: icmp_seq=28 ttl=64 time=3.49 ms
64 bytes from 10.1.2.223: icmp_seq=29 ttl=64 time=3.51 ms
64 bytes from 10.1.2.223: icmp_seq=30 ttl=64 time=3.44 ms
64 bytes from 10.1.2.223: icmp_seq=31 ttl=64 time=3.56 ms
64 bytes from 10.1.2.223: icmp_seq=32 ttl=64 time=3.45 ms
64 bytes from 10.1.2.223: icmp_seq=33 ttl=64 time=3.61 ms
64 bytes from 10.1.2.223: icmp_seq=34 ttl=64 time=3.50 ms
64 bytes from 10.1.2.223: icmp_seq=35 ttl=64 time=3.49 ms
64 bytes from 10.1.2.223: icmp_seq=36 ttl=64 time=3.38 ms
64 bytes from 10.1.2.223: icmp_seq=37 ttl=64 time=3.42 ms
64 bytes from 10.1.2.223: icmp_seq=38 ttl=64 time=3.44 ms
64 bytes from 10.1.2.223: icmp_seq=39 ttl=64 time=3.42 ms
64 bytes from 10.1.2.223: icmp_seq=40 ttl=64 time=3.44 ms
64 bytes from 10.1.2.223: icmp_seq=41 ttl=64 time=3.43 ms
64 bytes from 10.1.2.223: icmp_seq=42 ttl=64 time=3.50 ms
64 bytes from 10.1.2.223: icmp_seq=43 ttl=64 time=3.49 ms
64 bytes from 10.1.2.223: icmp_seq=44 ttl=64 time=3.48 ms
64 bytes from 10.1.2.223: icmp_seq=45 ttl=64 time=3.50 ms
64 bytes from 10.1.2.223: icmp_seq=46 ttl=64 time=3.56 ms
64 bytes from 10.1.2.223: icmp_seq=47 ttl=64 time=3.45 ms
64 bytes from 10.1.2.223: icmp_seq=48 ttl=64 time=3.47 ms
64 bytes from 10.1.2.223: icmp_seq=49 ttl=64 time=3.99 ms
64 bytes from 10.1.2.223: icmp_seq=50 ttl=64 time=3.49 ms

--- 10.1.2.223 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49078ms
rtt min/avg/max/mdev = 3.379/3.500/3.999/0.113 ms
# From 18.231.75.225 in sa-east-1b to 10.1.2.223
