PING 10.1.0.177 (10.1.0.177) 56(84) bytes of data.
64 bytes from 10.1.0.177: icmp_seq=1 ttl=64 time=1.24 ms
64 bytes from 10.1.0.177: icmp_seq=2 ttl=64 time=0.876 ms
64 bytes from 10.1.0.177: icmp_seq=3 ttl=64 time=0.940 ms
64 bytes from 10.1.0.177: icmp_seq=4 ttl=64 time=0.841 ms
64 bytes from 10.1.0.177: icmp_seq=5 ttl=64 time=0.851 ms
64 bytes from 10.1.0.177: icmp_seq=6 ttl=64 time=1.11 ms
64 bytes from 10.1.0.177: icmp_seq=7 ttl=64 time=0.879 ms
64 bytes from 10.1.0.177: icmp_seq=8 ttl=64 time=0.951 ms
64 bytes from 10.1.0.177: icmp_seq=9 ttl=64 time=0.945 ms
64 bytes from 10.1.0.177: icmp_seq=10 ttl=64 time=0.945 ms
64 bytes from 10.1.0.177: icmp_seq=11 ttl=64 time=0.980 ms
64 bytes from 10.1.0.177: icmp_seq=12 ttl=64 time=0.930 ms
64 bytes from 10.1.0.177: icmp_seq=13 ttl=64 time=0.931 ms
64 bytes from 10.1.0.177: icmp_seq=14 ttl=64 time=0.928 ms
64 bytes from 10.1.0.177: icmp_seq=15 ttl=64 time=0.842 ms
64 bytes from 10.1.0.177: icmp_seq=16 ttl=64 time=0.946 ms
64 bytes from 10.1.0.177: icmp_seq=17 ttl=64 time=0.852 ms
64 bytes from 10.1.0.177: icmp_seq=18 ttl=64 time=0.813 ms
64 bytes from 10.1.0.177: icmp_seq=19 ttl=64 time=0.855 ms
64 bytes from 10.1.0.177: icmp_seq=20 ttl=64 time=0.793 ms
64 bytes from 10.1.0.177: icmp_seq=21 ttl=64 time=0.937 ms
64 bytes from 10.1.0.177: icmp_seq=22 ttl=64 time=0.941 ms
64 bytes from 10.1.0.177: icmp_seq=23 ttl=64 time=0.899 ms
64 bytes from 10.1.0.177: icmp_seq=24 ttl=64 time=0.841 ms
64 bytes from 10.1.0.177: icmp_seq=25 ttl=64 time=0.975 ms
64 bytes from 10.1.0.177: icmp_seq=26 ttl=64 time=0.867 ms
64 bytes from 10.1.0.177: icmp_seq=27 ttl=64 time=0.903 ms
64 bytes from 10.1.0.177: icmp_seq=28 ttl=64 time=0.894 ms
64 bytes from 10.1.0.177: icmp_seq=29 ttl=64 time=0.902 ms
64 bytes from 10.1.0.177: icmp_seq=30 ttl=64 time=0.846 ms
64 bytes from 10.1.0.177: icmp_seq=31 ttl=64 time=0.827 ms
64 bytes from 10.1.0.177: icmp_seq=32 ttl=64 time=0.864 ms
64 bytes from 10.1.0.177: icmp_seq=33 ttl=64 time=0.846 ms
64 bytes from 10.1.0.177: icmp_seq=34 ttl=64 time=0.829 ms
64 bytes from 10.1.0.177: icmp_seq=35 ttl=64 time=0.928 ms
64 bytes from 10.1.0.177: icmp_seq=36 ttl=64 time=0.993 ms
64 bytes from 10.1.0.177: icmp_seq=37 ttl=64 time=0.856 ms
64 bytes from 10.1.0.177: icmp_seq=38 ttl=64 time=0.797 ms
64 bytes from 10.1.0.177: icmp_seq=39 ttl=64 time=0.815 ms
64 bytes from 10.1.0.177: icmp_seq=40 ttl=64 time=0.923 ms
64 bytes from 10.1.0.177: icmp_seq=41 ttl=64 time=0.839 ms
64 bytes from 10.1.0.177: icmp_seq=42 ttl=64 time=0.790 ms
64 bytes from 10.1.0.177: icmp_seq=43 ttl=64 time=0.948 ms
64 bytes from 10.1.0.177: icmp_seq=44 ttl=64 time=0.962 ms
64 bytes from 10.1.0.177: icmp_seq=45 ttl=64 time=0.902 ms
64 bytes from 10.1.0.177: icmp_seq=46 ttl=64 time=1.08 ms
64 bytes from 10.1.0.177: icmp_seq=47 ttl=64 time=0.840 ms
64 bytes from 10.1.0.177: icmp_seq=48 ttl=64 time=0.842 ms
64 bytes from 10.1.0.177: icmp_seq=49 ttl=64 time=0.887 ms
64 bytes from 10.1.0.177: icmp_seq=50 ttl=64 time=0.936 ms

--- 10.1.0.177 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49540ms
rtt min/avg/max/mdev = 0.790/0.903/1.245/0.086 ms
PING 10.1.1.197 (10.1.1.197) 56(84) bytes of data.
64 bytes from 10.1.1.197: icmp_seq=1 ttl=64 time=0.015 ms
64 bytes from 10.1.1.197: icmp_seq=2 ttl=64 time=0.026 ms
64 bytes from 10.1.1.197: icmp_seq=3 ttl=64 time=0.022 ms
64 bytes from 10.1.1.197: icmp_seq=4 ttl=64 time=0.025 ms
64 bytes from 10.1.1.197: icmp_seq=5 ttl=64 time=0.021 ms
64 bytes from 10.1.1.197: icmp_seq=6 ttl=64 time=0.031 ms
64 bytes from 10.1.1.197: icmp_seq=7 ttl=64 time=0.017 ms
64 bytes from 10.1.1.197: icmp_seq=8 ttl=64 time=0.016 ms
64 bytes from 10.1.1.197: icmp_seq=9 ttl=64 time=0.016 ms
64 bytes from 10.1.1.197: icmp_seq=10 ttl=64 time=0.025 ms
64 bytes from 10.1.1.197: icmp_seq=11 ttl=64 time=0.020 ms
64 bytes from 10.1.1.197: icmp_seq=12 ttl=64 time=0.031 ms
64 bytes from 10.1.1.197: icmp_seq=13 ttl=64 time=0.022 ms
64 bytes from 10.1.1.197: icmp_seq=14 ttl=64 time=0.031 ms
64 bytes from 10.1.1.197: icmp_seq=15 ttl=64 time=0.030 ms
64 bytes from 10.1.1.197: icmp_seq=16 ttl=64 time=0.023 ms
