PING 10.1.0.177 (10.1.0.177) 56(84) bytes of data.
64 bytes from 10.1.0.177: icmp_seq=1 ttl=64 time=1.43 ms
64 bytes from 10.1.0.177: icmp_seq=2 ttl=64 time=1.31 ms
64 bytes from 10.1.0.177: icmp_seq=3 ttl=64 time=1.37 ms
64 bytes from 10.1.0.177: icmp_seq=4 ttl=64 time=1.38 ms
64 bytes from 10.1.0.177: icmp_seq=5 ttl=64 time=1.40 ms
64 bytes from 10.1.0.177: icmp_seq=6 ttl=64 time=1.42 ms
64 bytes from 10.1.0.177: icmp_seq=7 ttl=64 time=1.36 ms
64 bytes from 10.1.0.177: icmp_seq=8 ttl=64 time=1.32 ms
64 bytes from 10.1.0.177: icmp_seq=9 ttl=64 time=1.40 ms
64 bytes from 10.1.0.177: icmp_seq=10 ttl=64 time=1.34 ms
64 bytes from 10.1.0.177: icmp_seq=11 ttl=64 time=1.31 ms
64 bytes from 10.1.0.177: icmp_seq=12 ttl=64 time=1.35 ms
64 bytes from 10.1.0.177: icmp_seq=13 ttl=64 time=1.94 ms
64 bytes from 10.1.0.177: icmp_seq=14 ttl=64 time=1.32 ms
64 bytes from 10.1.0.177: icmp_seq=15 ttl=64 time=1.46 ms
64 bytes from 10.1.0.177: icmp_seq=16 ttl=64 time=1.45 ms
64 bytes from 10.1.0.177: icmp_seq=17 ttl=64 time=1.46 ms
64 bytes from 10.1.0.177: icmp_seq=18 ttl=64 time=1.32 ms
64 bytes from 10.1.0.177: icmp_seq=19 ttl=64 time=1.29 ms
64 bytes from 10.1.0.177: icmp_seq=20 ttl=64 time=1.36 ms
64 bytes from 10.1.0.177: icmp_seq=21 ttl=64 time=1.30 ms
64 bytes from 10.1.0.177: icmp_seq=22 ttl=64 time=1.38 ms
64 bytes from 10.1.0.177: icmp_seq=23 ttl=64 time=1.33 ms
64 bytes from 10.1.0.177: icmp_seq=24 ttl=64 time=1.36 ms
64 bytes from 10.1.0.177: icmp_seq=25 ttl=64 time=1.47 ms
64 bytes from 10.1.0.177: icmp_seq=26 ttl=64 time=1.44 ms
64 bytes from 10.1.0.177: icmp_seq=27 ttl=64 time=1.38 ms
64 bytes from 10.1.0.177: icmp_seq=28 ttl=64 time=1.33 ms
64 bytes from 10.1.0.177: icmp_seq=29 ttl=64 time=1.38 ms
64 bytes from 10.1.0.177: icmp_seq=30 ttl=64 time=1.42 ms
64 bytes from 10.1.0.177: icmp_seq=31 ttl=64 time=1.49 ms
64 bytes from 10.1.0.177: icmp_seq=32 ttl=64 time=1.73 ms
64 bytes from 10.1.0.177: icmp_seq=33 ttl=64 time=1.33 ms
64 bytes from 10.1.0.177: icmp_seq=34 ttl=64 time=1.35 ms
64 bytes from 10.1.0.177: icmp_seq=35 ttl=64 time=1.86 ms
64 bytes from 10.1.0.177: icmp_seq=36 ttl=64 time=1.46 ms
64 bytes from 10.1.0.177: icmp_seq=37 ttl=64 time=1.35 ms
64 bytes from 10.1.0.177: icmp_seq=38 ttl=64 time=1.39 ms
64 bytes from 10.1.0.177: icmp_seq=39 ttl=64 time=1.33 ms
64 bytes from 10.1.0.177: icmp_seq=40 ttl=64 time=1.44 ms
64 bytes from 10.1.0.177: icmp_seq=41 ttl=64 time=1.38 ms
64 bytes from 10.1.0.177: icmp_seq=42 ttl=64 time=1.46 ms
64 bytes from 10.1.0.177: icmp_seq=43 ttl=64 time=1.34 ms
64 bytes from 10.1.0.177: icmp_seq=44 ttl=64 time=1.43 ms
64 bytes from 10.1.0.177: icmp_seq=45 ttl=64 time=1.43 ms
64 bytes from 10.1.0.177: icmp_seq=46 ttl=64 time=1.42 ms
64 bytes from 10.1.0.177: icmp_seq=47 ttl=64 time=1.34 ms
64 bytes from 10.1.0.177: icmp_seq=48 ttl=64 time=1.44 ms
64 bytes from 10.1.0.177: icmp_seq=49 ttl=64 time=1.47 ms
64 bytes from 10.1.0.177: icmp_seq=50 ttl=64 time=1.41 ms

--- 10.1.0.177 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49079ms
rtt min/avg/max/mdev = 1.298/1.417/1.940/0.124 ms
PING 10.1.1.197 (10.1.1.197) 56(84) bytes of data.
64 bytes from 10.1.1.197: icmp_seq=1 ttl=64 time=0.737 ms
64 bytes from 10.1.1.197: icmp_seq=2 ttl=64 time=0.794 ms
64 bytes from 10.1.1.197: icmp_seq=3 ttl=64 time=0.730 ms
64 bytes from 10.1.1.197: icmp_seq=4 ttl=64 time=0.734 ms
64 bytes from 10.1.1.197: icmp_seq=5 ttl=64 time=0.759 ms
64 bytes from 10.1.1.197: icmp_seq=6 ttl=64 time=0.699 ms
64 bytes from 10.1.1.197: icmp_seq=7 ttl=64 time=0.778 ms
64 bytes from 10.1.1.197: icmp_seq=8 ttl=64 time=0.758 ms
64 bytes from 10.1.1.197: icmp_seq=9 ttl=64 time=0.730 ms
64 bytes from 10.1.1.197: icmp_seq=10 ttl=64 time=0.734 ms
64 bytes from 10.1.1.197: icmp_seq=11 ttl=64 time=0.755 ms
64 bytes from 10.1.1.197: icmp_seq=12 ttl=64 time=0.751 ms
64 bytes from 10.1.1.197: icmp_seq=13 ttl=64 time=0.809 ms
64 bytes from 10.1.1.197: icmp_seq=14 ttl=64 time=0.751 ms
64 bytes from 10.1.1.197: icmp_seq=15 ttl=64 time=0.912 ms
64 bytes from 10.1.1.197: icmp_seq=16 ttl=64 time=0.819 ms
64 bytes from 10.1.1.197: icmp_seq=17 ttl=64 time=0.887 ms
64 bytes from 10.1.1.197: icmp_seq=18 ttl=64 time=0.801 ms
64 bytes from 10.1.1.197: icmp_seq=19 ttl=64 time=0.832 ms
64 bytes from 10.1.1.197: icmp_seq=20 ttl=64 time=0.765 ms
64 bytes from 10.1.1.197: icmp_seq=21 ttl=64 time=0.849 ms
64 bytes from 10.1.1.197: icmp_seq=22 ttl=64 time=0.824 ms
64 bytes from 10.1.1.197: icmp_seq=23 ttl=64 time=0.823 ms
64 bytes from 10.1.1.197: icmp_seq=24 ttl=64 time=0.874 ms
64 bytes from 10.1.1.197: icmp_seq=25 ttl=64 time=0.808 ms
64 bytes from 10.1.1.197: icmp_seq=26 ttl=64 time=0.813 ms
64 bytes from 10.1.1.197: icmp_seq=27 ttl=64 time=0.826 ms
64 bytes from 10.1.1.197: icmp_seq=28 ttl=64 time=0.879 ms
64 bytes from 10.1.1.197: icmp_seq=29 ttl=64 time=0.790 ms
64 bytes from 10.1.1.197: icmp_seq=30 ttl=64 time=0.800 ms
64 bytes from 10.1.1.197: icmp_seq=31 ttl=64 time=0.787 ms
64 bytes from 10.1.1.197: icmp_seq=32 ttl=64 time=0.741 ms
64 bytes from 10.1.1.197: icmp_seq=33 ttl=64 time=0.791 ms
64 bytes from 10.1.1.197: icmp_seq=34 ttl=64 time=0.841 ms
64 bytes from 10.1.1.197: icmp_seq=35 ttl=64 time=0.787 ms
64 bytes from 10.1.1.197: icmp_seq=36 ttl=64 time=0.850 ms
64 bytes from 10.1.1.197: icmp_seq=37 ttl=64 time=0.790 ms
64 bytes from 10.1.1.197: icmp_seq=38 ttl=64 time=0.773 ms
64 bytes from 10.1.1.197: icmp_seq=39 ttl=64 time=0.736 ms
64 bytes from 10.1.1.197: icmp_seq=40 ttl=64 time=0.727 ms
64 bytes from 10.1.1.197: icmp_seq=41 ttl=64 time=0.778 ms
64 bytes from 10.1.1.197: icmp_seq=42 ttl=64 time=0.784 ms
64 bytes from 10.1.1.197: icmp_seq=43 ttl=64 time=0.814 ms
64 bytes from 10.1.1.197: icmp_seq=44 ttl=64 time=0.841 ms
64 bytes from 10.1.1.197: icmp_seq=45 ttl=64 time=1.06 ms
64 bytes from 10.1.1.197: icmp_seq=46 ttl=64 time=0.757 ms
64 bytes from 10.1.1.197: icmp_seq=47 ttl=64 time=0.906 ms
64 bytes from 10.1.1.197: icmp_seq=48 ttl=64 time=0.735 ms
64 bytes from 10.1.1.197: icmp_seq=49 ttl=64 time=0.792 ms
64 bytes from 10.1.1.197: icmp_seq=50 ttl=64 time=0.813 ms

--- 10.1.1.197 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49841ms
rtt min/avg/max/mdev = 0.699/0.798/1.062/0.067 ms
PING 10.1.2.67 (10.1.2.67) 56(84) bytes of data.
64 bytes from 10.1.2.67: icmp_seq=1 ttl=64 time=0.672 ms
64 bytes from 10.1.2.67: icmp_seq=2 ttl=64 time=0.792 ms
64 bytes from 10.1.2.67: icmp_seq=3 ttl=64 time=0.776 ms
64 bytes from 10.1.2.67: icmp_seq=4 ttl=64 time=0.810 ms
64 bytes from 10.1.2.67: icmp_seq=5 ttl=64 time=0.692 ms
64 bytes from 10.1.2.67: icmp_seq=6 ttl=64 time=0.681 ms
64 bytes from 10.1.2.67: icmp_seq=7 ttl=64 time=0.690 ms
64 bytes from 10.1.2.67: icmp_seq=8 ttl=64 time=0.716 ms
64 bytes from 10.1.2.67: icmp_seq=9 ttl=64 time=0.776 ms
64 bytes from 10.1.2.67: icmp_seq=10 ttl=64 time=0.734 ms
64 bytes from 10.1.2.67: icmp_seq=11 ttl=64 time=0.738 ms
64 bytes from 10.1.2.67: icmp_seq=12 ttl=64 time=0.749 ms
64 bytes from 10.1.2.67: icmp_seq=13 ttl=64 time=0.822 ms
64 bytes from 10.1.2.67: icmp_seq=14 ttl=64 time=0.778 ms
64 bytes from 10.1.2.67: icmp_seq=15 ttl=64 time=0.709 ms
64 bytes from 10.1.2.67: icmp_seq=16 ttl=64 time=0.704 ms
64 bytes from 10.1.2.67: icmp_seq=17 ttl=64 time=0.782 ms
64 bytes from 10.1.2.67: icmp_seq=18 ttl=64 time=0.720 ms
64 bytes from 10.1.2.67: icmp_seq=19 ttl=64 time=0.767 ms
64 bytes from 10.1.2.67: icmp_seq=20 ttl=64 time=0.806 ms
64 bytes from 10.1.2.67: icmp_seq=21 ttl=64 time=0.763 ms
64 bytes from 10.1.2.67: icmp_seq=22 ttl=64 time=0.780 ms
64 bytes from 10.1.2.67: icmp_seq=23 ttl=64 time=0.775 ms
64 bytes from 10.1.2.67: icmp_seq=24 ttl=64 time=0.747 ms
64 bytes from 10.1.2.67: icmp_seq=25 ttl=64 time=1.35 ms
64 bytes from 10.1.2.67: icmp_seq=26 ttl=64 time=0.706 ms
64 bytes from 10.1.2.67: icmp_seq=27 ttl=64 time=0.683 ms
64 bytes from 10.1.2.67: icmp_seq=28 ttl=64 time=0.699 ms
64 bytes from 10.1.2.67: icmp_seq=29 ttl=64 time=0.686 ms
64 bytes from 10.1.2.67: icmp_seq=30 ttl=64 time=0.720 ms
64 bytes from 10.1.2.67: icmp_seq=31 ttl=64 time=0.702 ms
64 bytes from 10.1.2.67: icmp_seq=32 ttl=64 time=0.732 ms
64 bytes from 10.1.2.67: icmp_seq=33 ttl=64 time=0.712 ms
64 bytes from 10.1.2.67: icmp_seq=34 ttl=64 time=0.697 ms
64 bytes from 10.1.2.67: icmp_seq=35 ttl=64 time=0.663 ms
64 bytes from 10.1.2.67: icmp_seq=36 ttl=64 time=0.757 ms
64 bytes from 10.1.2.67: icmp_seq=37 ttl=64 time=0.691 ms
64 bytes from 10.1.2.67: icmp_seq=38 ttl=64 time=0.746 ms
64 bytes from 10.1.2.67: icmp_seq=39 ttl=64 time=0.782 ms
64 bytes from 10.1.2.67: icmp_seq=40 ttl=64 time=0.717 ms
64 bytes from 10.1.2.67: icmp_seq=41 ttl=64 time=0.674 ms
64 bytes from 10.1.2.67: icmp_seq=42 ttl=64 time=0.699 ms
64 bytes from 10.1.2.67: icmp_seq=43 ttl=64 time=0.810 ms
64 bytes from 10.1.2.67: icmp_seq=44 ttl=64 time=0.667 ms
64 bytes from 10.1.2.67: icmp_seq=45 ttl=64 time=0.778 ms
64 bytes from 10.1.2.67: icmp_seq=46 ttl=64 time=0.682 ms
64 bytes from 10.1.2.67: icmp_seq=47 ttl=64 time=0.754 ms
64 bytes from 10.1.2.67: icmp_seq=48 ttl=64 time=0.740 ms
64 bytes from 10.1.2.67: icmp_seq=49 ttl=64 time=0.974 ms
64 bytes from 10.1.2.67: icmp_seq=50 ttl=64 time=0.636 ms

--- 10.1.2.67 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50126ms
rtt min/avg/max/mdev = 0.636/0.748/1.355/0.108 ms
PING 10.1.3.31 (10.1.3.31) 56(84) bytes of data.
64 bytes from 10.1.3.31: icmp_seq=1 ttl=64 time=0.014 ms
64 bytes from 10.1.3.31: icmp_seq=2 ttl=64 time=0.028 ms
64 bytes from 10.1.3.31: icmp_seq=3 ttl=64 time=0.029 ms
64 bytes from 10.1.3.31: icmp_seq=4 ttl=64 time=0.041 ms
64 bytes from 10.1.3.31: icmp_seq=5 ttl=64 time=0.042 ms
64 bytes from 10.1.3.31: icmp_seq=6 ttl=64 time=0.028 ms
64 bytes from 10.1.3.31: icmp_seq=7 ttl=64 time=0.040 ms
64 bytes from 10.1.3.31: icmp_seq=8 ttl=64 time=0.028 ms
64 bytes from 10.1.3.31: icmp_seq=9 ttl=64 time=0.029 ms
64 bytes from 10.1.3.31: icmp_seq=10 ttl=64 time=0.029 ms
64 bytes from 10.1.3.31: icmp_seq=11 ttl=64 time=0.030 ms
64 bytes from 10.1.3.31: icmp_seq=12 ttl=64 time=0.057 ms
64 bytes from 10.1.3.31: icmp_seq=13 ttl=64 time=0.045 ms
64 bytes from 10.1.3.31: icmp_seq=14 ttl=64 time=0.045 ms
64 bytes from 10.1.3.31: icmp_seq=15 ttl=64 time=0.046 ms
64 bytes from 10.1.3.31: icmp_seq=16 ttl=64 time=0.046 ms
64 bytes from 10.1.3.31: icmp_seq=17 ttl=64 time=0.046 ms
64 bytes from 10.1.3.31: icmp_seq=18 ttl=64 time=0.038 ms
64 bytes from 10.1.3.31: icmp_seq=19 ttl=64 time=0.045 ms
64 bytes from 10.1.3.31: icmp_seq=20 ttl=64 time=0.031 ms
64 bytes from 10.1.3.31: icmp_seq=21 ttl=64 time=0.037 ms
64 bytes from 10.1.3.31: icmp_seq=22 ttl=64 time=0.032 ms
64 bytes from 10.1.3.31: icmp_seq=23 ttl=64 time=0.033 ms
64 bytes from 10.1.3.31: icmp_seq=24 ttl=64 time=0.049 ms
64 bytes from 10.1.3.31: icmp_seq=25 ttl=64 time=0.054 ms
64 bytes from 10.1.3.31: icmp_seq=26 ttl=64 time=0.040 ms
64 bytes from 10.1.3.31: icmp_seq=27 ttl=64 time=0.044 ms
