PING 10.1.0.177 (10.1.0.177) 56(84) bytes of data.
64 bytes from 10.1.0.177: icmp_seq=1 ttl=64 time=0.793 ms
64 bytes from 10.1.0.177: icmp_seq=2 ttl=64 time=0.802 ms
64 bytes from 10.1.0.177: icmp_seq=3 ttl=64 time=0.936 ms
64 bytes from 10.1.0.177: icmp_seq=4 ttl=64 time=0.897 ms
64 bytes from 10.1.0.177: icmp_seq=5 ttl=64 time=0.748 ms
64 bytes from 10.1.0.177: icmp_seq=6 ttl=64 time=0.830 ms
64 bytes from 10.1.0.177: icmp_seq=7 ttl=64 time=0.876 ms
64 bytes from 10.1.0.177: icmp_seq=8 ttl=64 time=0.757 ms
64 bytes from 10.1.0.177: icmp_seq=9 ttl=64 time=0.941 ms
64 bytes from 10.1.0.177: icmp_seq=10 ttl=64 time=1.07 ms
64 bytes from 10.1.0.177: icmp_seq=11 ttl=64 time=0.692 ms
64 bytes from 10.1.0.177: icmp_seq=12 ttl=64 time=0.787 ms
64 bytes from 10.1.0.177: icmp_seq=13 ttl=64 time=0.724 ms
64 bytes from 10.1.0.177: icmp_seq=14 ttl=64 time=0.694 ms
64 bytes from 10.1.0.177: icmp_seq=15 ttl=64 time=0.812 ms
64 bytes from 10.1.0.177: icmp_seq=16 ttl=64 time=0.703 ms
64 bytes from 10.1.0.177: icmp_seq=17 ttl=64 time=0.691 ms
64 bytes from 10.1.0.177: icmp_seq=18 ttl=64 time=0.737 ms
64 bytes from 10.1.0.177: icmp_seq=19 ttl=64 time=0.681 ms
64 bytes from 10.1.0.177: icmp_seq=20 ttl=64 time=0.670 ms
64 bytes from 10.1.0.177: icmp_seq=21 ttl=64 time=0.664 ms
64 bytes from 10.1.0.177: icmp_seq=22 ttl=64 time=0.688 ms
64 bytes from 10.1.0.177: icmp_seq=23 ttl=64 time=0.640 ms
64 bytes from 10.1.0.177: icmp_seq=24 ttl=64 time=0.648 ms
64 bytes from 10.1.0.177: icmp_seq=25 ttl=64 time=0.682 ms
64 bytes from 10.1.0.177: icmp_seq=26 ttl=64 time=0.723 ms
64 bytes from 10.1.0.177: icmp_seq=27 ttl=64 time=0.774 ms
64 bytes from 10.1.0.177: icmp_seq=28 ttl=64 time=0.671 ms
64 bytes from 10.1.0.177: icmp_seq=29 ttl=64 time=0.693 ms
64 bytes from 10.1.0.177: icmp_seq=30 ttl=64 time=0.641 ms
64 bytes from 10.1.0.177: icmp_seq=31 ttl=64 time=0.694 ms
64 bytes from 10.1.0.177: icmp_seq=32 ttl=64 time=0.787 ms
64 bytes from 10.1.0.177: icmp_seq=33 ttl=64 time=0.821 ms
64 bytes from 10.1.0.177: icmp_seq=34 ttl=64 time=0.717 ms
64 bytes from 10.1.0.177: icmp_seq=35 ttl=64 time=0.829 ms
64 bytes from 10.1.0.177: icmp_seq=36 ttl=64 time=0.705 ms
64 bytes from 10.1.0.177: icmp_seq=37 ttl=64 time=0.769 ms
64 bytes from 10.1.0.177: icmp_seq=38 ttl=64 time=0.690 ms
64 bytes from 10.1.0.177: icmp_seq=39 ttl=64 time=0.716 ms
64 bytes from 10.1.0.177: icmp_seq=40 ttl=64 time=0.694 ms
64 bytes from 10.1.0.177: icmp_seq=41 ttl=64 time=0.953 ms
64 bytes from 10.1.0.177: icmp_seq=42 ttl=64 time=0.740 ms
64 bytes from 10.1.0.177: icmp_seq=43 ttl=64 time=0.705 ms
64 bytes from 10.1.0.177: icmp_seq=44 ttl=64 time=0.754 ms
64 bytes from 10.1.0.177: icmp_seq=45 ttl=64 time=0.862 ms
64 bytes from 10.1.0.177: icmp_seq=46 ttl=64 time=0.874 ms
64 bytes from 10.1.0.177: icmp_seq=47 ttl=64 time=0.843 ms
64 bytes from 10.1.0.177: icmp_seq=48 ttl=64 time=0.836 ms
64 bytes from 10.1.0.177: icmp_seq=49 ttl=64 time=0.860 ms
64 bytes from 10.1.0.177: icmp_seq=50 ttl=64 time=0.827 ms

--- 10.1.0.177 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49904ms
rtt min/avg/max/mdev = 0.640/0.767/1.079/0.093 ms
PING 10.1.1.197 (10.1.1.197) 56(84) bytes of data.
64 bytes from 10.1.1.197: icmp_seq=1 ttl=64 time=0.978 ms
64 bytes from 10.1.1.197: icmp_seq=2 ttl=64 time=1.01 ms
64 bytes from 10.1.1.197: icmp_seq=3 ttl=64 time=1.04 ms
64 bytes from 10.1.1.197: icmp_seq=4 ttl=64 time=1.06 ms
64 bytes from 10.1.1.197: icmp_seq=5 ttl=64 time=1.04 ms
64 bytes from 10.1.1.197: icmp_seq=6 ttl=64 time=1.03 ms
64 bytes from 10.1.1.197: icmp_seq=7 ttl=64 time=1.06 ms
64 bytes from 10.1.1.197: icmp_seq=8 ttl=64 time=1.06 ms
64 bytes from 10.1.1.197: icmp_seq=9 ttl=64 time=1.00 ms
64 bytes from 10.1.1.197: icmp_seq=10 ttl=64 time=1.00 ms
64 bytes from 10.1.1.197: icmp_seq=11 ttl=64 time=0.957 ms
64 bytes from 10.1.1.197: icmp_seq=12 ttl=64 time=1.04 ms
64 bytes from 10.1.1.197: icmp_seq=13 ttl=64 time=1.06 ms
64 bytes from 10.1.1.197: icmp_seq=14 ttl=64 time=0.975 ms
64 bytes from 10.1.1.197: icmp_seq=15 ttl=64 time=1.04 ms
64 bytes from 10.1.1.197: icmp_seq=16 ttl=64 time=1.00 ms
64 bytes from 10.1.1.197: icmp_seq=17 ttl=64 time=1.01 ms
64 bytes from 10.1.1.197: icmp_seq=18 ttl=64 time=1.07 ms
64 bytes from 10.1.1.197: icmp_seq=19 ttl=64 time=1.05 ms
64 bytes from 10.1.1.197: icmp_seq=20 ttl=64 time=0.930 ms
64 bytes from 10.1.1.197: icmp_seq=21 ttl=64 time=0.948 ms
64 bytes from 10.1.1.197: icmp_seq=22 ttl=64 time=0.948 ms
64 bytes from 10.1.1.197: icmp_seq=23 ttl=64 time=0.963 ms
64 bytes from 10.1.1.197: icmp_seq=24 ttl=64 time=0.948 ms
64 bytes from 10.1.1.197: icmp_seq=25 ttl=64 time=1.34 ms
64 bytes from 10.1.1.197: icmp_seq=26 ttl=64 time=1.04 ms
64 bytes from 10.1.1.197: icmp_seq=27 ttl=64 time=1.08 ms
64 bytes from 10.1.1.197: icmp_seq=28 ttl=64 time=1.08 ms
64 bytes from 10.1.1.197: icmp_seq=29 ttl=64 time=1.01 ms
64 bytes from 10.1.1.197: icmp_seq=30 ttl=64 time=1.04 ms
64 bytes from 10.1.1.197: icmp_seq=31 ttl=64 time=1.04 ms
64 bytes from 10.1.1.197: icmp_seq=32 ttl=64 time=0.939 ms
64 bytes from 10.1.1.197: icmp_seq=33 ttl=64 time=1.07 ms
64 bytes from 10.1.1.197: icmp_seq=34 ttl=64 time=0.981 ms
64 bytes from 10.1.1.197: icmp_seq=35 ttl=64 time=0.987 ms
64 bytes from 10.1.1.197: icmp_seq=36 ttl=64 time=1.02 ms
64 bytes from 10.1.1.197: icmp_seq=37 ttl=64 time=1.06 ms
64 bytes from 10.1.1.197: icmp_seq=38 ttl=64 time=0.995 ms
64 bytes from 10.1.1.197: icmp_seq=39 ttl=64 time=0.955 ms
64 bytes from 10.1.1.197: icmp_seq=40 ttl=64 time=1.04 ms
64 bytes from 10.1.1.197: icmp_seq=41 ttl=64 time=0.957 ms
64 bytes from 10.1.1.197: icmp_seq=42 ttl=64 time=1.03 ms
64 bytes from 10.1.1.197: icmp_seq=43 ttl=64 time=1.05 ms
64 bytes from 10.1.1.197: icmp_seq=44 ttl=64 time=0.973 ms
64 bytes from 10.1.1.197: icmp_seq=45 ttl=64 time=0.942 ms
64 bytes from 10.1.1.197: icmp_seq=46 ttl=64 time=1.02 ms
64 bytes from 10.1.1.197: icmp_seq=47 ttl=64 time=0.905 ms
64 bytes from 10.1.1.197: icmp_seq=48 ttl=64 time=0.993 ms
64 bytes from 10.1.1.197: icmp_seq=49 ttl=64 time=0.995 ms
64 bytes from 10.1.1.197: icmp_seq=50 ttl=64 time=1.03 ms

--- 10.1.1.197 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49079ms
rtt min/avg/max/mdev = 0.905/1.018/1.347/0.074 ms
PING 10.1.2.67 (10.1.2.67) 56(84) bytes of data.
64 bytes from 10.1.2.67: icmp_seq=1 ttl=64 time=0.880 ms
64 bytes from 10.1.2.67: icmp_seq=2 ttl=64 time=0.981 ms
64 bytes from 10.1.2.67: icmp_seq=3 ttl=64 time=1.07 ms
64 bytes from 10.1.2.67: icmp_seq=4 ttl=64 time=1.08 ms
64 bytes from 10.1.2.67: icmp_seq=5 ttl=64 time=1.08 ms
64 bytes from 10.1.2.67: icmp_seq=6 ttl=64 time=0.925 ms
