PING 10.1.0.177 (10.1.0.177) 56(84) bytes of data.
64 bytes from 10.1.0.177: icmp_seq=1 ttl=64 time=1.07 ms
64 bytes from 10.1.0.177: icmp_seq=2 ttl=64 time=1.19 ms
64 bytes from 10.1.0.177: icmp_seq=3 ttl=64 time=1.15 ms
64 bytes from 10.1.0.177: icmp_seq=4 ttl=64 time=1.18 ms
64 bytes from 10.1.0.177: icmp_seq=5 ttl=64 time=1.02 ms
64 bytes from 10.1.0.177: icmp_seq=6 ttl=64 time=1.08 ms
64 bytes from 10.1.0.177: icmp_seq=7 ttl=64 time=1.13 ms
64 bytes from 10.1.0.177: icmp_seq=8 ttl=64 time=1.05 ms
64 bytes from 10.1.0.177: icmp_seq=9 ttl=64 time=1.02 ms
64 bytes from 10.1.0.177: icmp_seq=10 ttl=64 time=1.95 ms
64 bytes from 10.1.0.177: icmp_seq=11 ttl=64 time=1.04 ms
64 bytes from 10.1.0.177: icmp_seq=12 ttl=64 time=1.16 ms
64 bytes from 10.1.0.177: icmp_seq=13 ttl=64 time=1.15 ms
64 bytes from 10.1.0.177: icmp_seq=14 ttl=64 time=1.17 ms
64 bytes from 10.1.0.177: icmp_seq=15 ttl=64 time=1.16 ms
64 bytes from 10.1.0.177: icmp_seq=16 ttl=64 time=1.14 ms
64 bytes from 10.1.0.177: icmp_seq=17 ttl=64 time=1.20 ms
64 bytes from 10.1.0.177: icmp_seq=18 ttl=64 time=1.13 ms
64 bytes from 10.1.0.177: icmp_seq=19 ttl=64 time=1.20 ms
64 bytes from 10.1.0.177: icmp_seq=20 ttl=64 time=1.11 ms
64 bytes from 10.1.0.177: icmp_seq=21 ttl=64 time=1.16 ms
64 bytes from 10.1.0.177: icmp_seq=22 ttl=64 time=1.20 ms
64 bytes from 10.1.0.177: icmp_seq=23 ttl=64 time=1.14 ms
64 bytes from 10.1.0.177: icmp_seq=24 ttl=64 time=1.05 ms
64 bytes from 10.1.0.177: icmp_seq=25 ttl=64 time=1.16 ms
64 bytes from 10.1.0.177: icmp_seq=26 ttl=64 time=1.19 ms
64 bytes from 10.1.0.177: icmp_seq=27 ttl=64 time=1.21 ms
64 bytes from 10.1.0.177: icmp_seq=28 ttl=64 time=1.14 ms
64 bytes from 10.1.0.177: icmp_seq=29 ttl=64 time=1.14 ms
64 bytes from 10.1.0.177: icmp_seq=30 ttl=64 time=2.40 ms
64 bytes from 10.1.0.177: icmp_seq=31 ttl=64 time=1.19 ms
64 bytes from 10.1.0.177: icmp_seq=32 ttl=64 time=1.16 ms
64 bytes from 10.1.0.177: icmp_seq=33 ttl=64 time=1.17 ms
64 bytes from 10.1.0.177: icmp_seq=34 ttl=64 time=1.22 ms
64 bytes from 10.1.0.177: icmp_seq=35 ttl=64 time=1.17 ms
64 bytes from 10.1.0.177: icmp_seq=36 ttl=64 time=1.16 ms
64 bytes from 10.1.0.177: icmp_seq=37 ttl=64 time=1.31 ms
64 bytes from 10.1.0.177: icmp_seq=38 ttl=64 time=1.17 ms
64 bytes from 10.1.0.177: icmp_seq=39 ttl=64 time=1.05 ms
64 bytes from 10.1.0.177: icmp_seq=40 ttl=64 time=1.18 ms
64 bytes from 10.1.0.177: icmp_seq=41 ttl=64 time=1.07 ms
64 bytes from 10.1.0.177: icmp_seq=42 ttl=64 time=1.12 ms
64 bytes from 10.1.0.177: icmp_seq=43 ttl=64 time=1.18 ms
64 bytes from 10.1.0.177: icmp_seq=44 ttl=64 time=1.17 ms
64 bytes from 10.1.0.177: icmp_seq=45 ttl=64 time=1.19 ms
64 bytes from 10.1.0.177: icmp_seq=46 ttl=64 time=1.11 ms
64 bytes from 10.1.0.177: icmp_seq=47 ttl=64 time=1.16 ms
64 bytes from 10.1.0.177: icmp_seq=48 ttl=64 time=1.17 ms
64 bytes from 10.1.0.177: icmp_seq=49 ttl=64 time=1.18 ms
64 bytes from 10.1.0.177: icmp_seq=50 ttl=64 time=1.14 ms

--- 10.1.0.177 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49067ms
rtt min/avg/max/mdev = 1.027/1.191/2.409/0.219 ms
PING 10.1.1.197 (10.1.1.197) 56(84) bytes of data.
64 bytes from 10.1.1.197: icmp_seq=1 ttl=64 time=0.614 ms
64 bytes from 10.1.1.197: icmp_seq=2 ttl=64 time=0.596 ms
64 bytes from 10.1.1.197: icmp_seq=3 ttl=64 time=0.541 ms
64 bytes from 10.1.1.197: icmp_seq=4 ttl=64 time=0.500 ms
64 bytes from 10.1.1.197: icmp_seq=5 ttl=64 time=0.580 ms
64 bytes from 10.1.1.197: icmp_seq=6 ttl=64 time=0.569 ms
64 bytes from 10.1.1.197: icmp_seq=7 ttl=64 time=0.551 ms
64 bytes from 10.1.1.197: icmp_seq=8 ttl=64 time=0.501 ms
