# From 3.135.64.74 in us-east-2b
PING 10.1.0.232 (10.1.0.232) 56(84) bytes of data.
64 bytes from 10.1.0.232: icmp_seq=1 ttl=64 time=0.999 ms
64 bytes from 10.1.0.232: icmp_seq=2 ttl=64 time=0.970 ms
64 bytes from 10.1.0.232: icmp_seq=3 ttl=64 time=0.999 ms
64 bytes from 10.1.0.232: icmp_seq=4 ttl=64 time=1.01 ms
64 bytes from 10.1.0.232: icmp_seq=5 ttl=64 time=1.03 ms
64 bytes from 10.1.0.232: icmp_seq=6 ttl=64 time=0.976 ms
64 bytes from 10.1.0.232: icmp_seq=7 ttl=64 time=0.931 ms
64 bytes from 10.1.0.232: icmp_seq=8 ttl=64 time=0.987 ms
64 bytes from 10.1.0.232: icmp_seq=9 ttl=64 time=1.01 ms
64 bytes from 10.1.0.232: icmp_seq=10 ttl=64 time=0.943 ms
64 bytes from 10.1.0.232: icmp_seq=11 ttl=64 time=0.990 ms
64 bytes from 10.1.0.232: icmp_seq=12 ttl=64 time=1.02 ms
64 bytes from 10.1.0.232: icmp_seq=13 ttl=64 time=0.960 ms
64 bytes from 10.1.0.232: icmp_seq=14 ttl=64 time=1.04 ms
64 bytes from 10.1.0.232: icmp_seq=15 ttl=64 time=1.02 ms
64 bytes from 10.1.0.232: icmp_seq=16 ttl=64 time=0.955 ms
64 bytes from 10.1.0.232: icmp_seq=17 ttl=64 time=1.00 ms
64 bytes from 10.1.0.232: icmp_seq=18 ttl=64 time=0.927 ms
64 bytes from 10.1.0.232: icmp_seq=19 ttl=64 time=0.985 ms
64 bytes from 10.1.0.232: icmp_seq=20 ttl=64 time=0.961 ms
64 bytes from 10.1.0.232: icmp_seq=21 ttl=64 time=1.09 ms
64 bytes from 10.1.0.232: icmp_seq=22 ttl=64 time=0.949 ms
64 bytes from 10.1.0.232: icmp_seq=23 ttl=64 time=0.937 ms
64 bytes from 10.1.0.232: icmp_seq=24 ttl=64 time=0.980 ms
64 bytes from 10.1.0.232: icmp_seq=25 ttl=64 time=1.08 ms
64 bytes from 10.1.0.232: icmp_seq=26 ttl=64 time=1.00 ms
64 bytes from 10.1.0.232: icmp_seq=27 ttl=64 time=0.984 ms
64 bytes from 10.1.0.232: icmp_seq=28 ttl=64 time=0.933 ms
64 bytes from 10.1.0.232: icmp_seq=29 ttl=64 time=0.932 ms
64 bytes from 10.1.0.232: icmp_seq=30 ttl=64 time=0.929 ms
64 bytes from 10.1.0.232: icmp_seq=31 ttl=64 time=0.982 ms
64 bytes from 10.1.0.232: icmp_seq=32 ttl=64 time=0.997 ms
64 bytes from 10.1.0.232: icmp_seq=33 ttl=64 time=0.970 ms
64 bytes from 10.1.0.232: icmp_seq=34 ttl=64 time=1.10 ms
