Region,us-east-1,us-east-2,us-west-2,us-west-1,sa-east-1,eu-west-1,eu-central-1,ap-south-1,ap-northeast-1,ap-northeast-2,ap-southeast-1,ap-southeast-2
us-east-1,,26,323,149,257,140,169,423,291,340,522,449
us-east-2,23,,487,101,299,159,189,592,267,316,481,408
us-west-2,159,133,,41,349,247,280,515,178,228,409,307
us-west-1,147,101,375,,376,289,300,494,215,261,384,310
sa-east-1,261,229,427,376,,390,383,603,508,567,756,677
eu-west-1,139,161,449,287,381,,44,266,415,464,535,590
eu-central-1,170,187,470,301,377,43,,233,434,493,675,600
ap-south-1,419,592,472,495,602,265,235,,278,264,135,476
ap-northeast-1,296,270,313,219,508,417,438,278,,66,138,205
ap-northeast-2,338,316,392,262,566,463,494,263,66,,144,262
ap-southeast-1,525,481,479,385,753,528,695,137,139,143,,333
ap-southeast-2,449,408,456,311,683,589,606,476,205,265,334,
